"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","FN201...A.Prefeitura.cobra.pelos.serviços.de.coleta.regular..transporte.e.destinação.final.de.RSU..Antigo.campo.GE012...Sim.Não.","FN202...Forma.adotada..Antigo.campo.GE013.","FN203...Descrição.da.outra.forma.adotada..Antigo.campo.DESC_OUT_FORM_COBR.","FN204...Unidade.adotada.para.a.cobrança..no.caso.de.tarifa.","FN205...A.prefeitura.cobra.pela.prestação.de.serviços.especiais.ou.eventuais.de.manejo.de.RSU...Antigo.campo.GE014...Sim.Não.","FN206...Despesas.dos.agentes.públicos.com.o.serviço.de.coleta.de.RDO.e.RPU..Antigo.campo.CO132...R..ano.","FN207...Despesa.com.agentes.privados.para.execução.do.serviço.de.coleta.de.RDO.e.RPU..Antigo.campo.CO011...R..ano.","FN208...Despesa.total.com.o.serviço.de.coleta.de.RDO.e.RPU..Antigo.campo.CO009...R..ano.","FN209...Despesa.com.agentes.públicos.com.a.coleta.de.RSS..Antigo.campo.RS032...R..ano.","FN210...Despesa.com.empresas.contratadas.para.coleta.de.RSS..Antigo.campo.RS033...R..ano.","FN211...Despesa.total.com.a.coleta.de.RSS..Antigo.campo.RS035...R..ano.","FN212...Despesa.dos.agentes.públicos.com.o.serviço.de.varrição..Antigo.campo.VA037...R..ano.","FN213...Despesa.com.empresas.contratadas.para.o.serviço.de.varrição..Antigo.campo.VA019...R..ano.","FN214...Despesa.total.com.o.serviço.de.varrição..Antigo.campo.VA017...R..ano.","FN215...Despesa.com.agentes.públicos.executores.dos.demais.serviços.quando.não.especificados.em.campos.próprios..Antigo.campo.GE043...R..ano.","FN216...Despesa.com.agentes.privados.executores.dos.demais.serviços.quando.não.especificados.em.campos.próprios..Antigo.campo.GE044...R..ano.","FN217...Despesa.total.com.todos.os.agentes.executores.dos.demais.serviços.quando.não.especificados.em.campos.próprios..Antigo.campo.GE046...R..ano.","FN218...Despesa.dos.agentes.públicos.executores.de.serviços.de.manejo.de.RSU..Antigo.campo.GE023...R..ano.","FN219...Despesa.com.agentes.privados.executores.de.serviços.de.manejo.de.RSU..Antigo.campo.GE009...R..ano.","FN220...Despesa.total.com.serviços.de.manejo.de.RSU..Antigo.campo.GE007...R..ano.","FN221...Receita.orçada.com.a.cobrança.de.taxas.e.tarifas.referentes.à.gestão.e.manejo.de.RSU..Antigo.campo.GE005...R..ano.","FN222...Receita.arrecadada.com.taxas.e.tarifas.referentes.à.gestão.e.manejo.de.RSU..Antigo.campo.GE006...R..ano.","FN223...Despesa.Corrente.da.Prefeitura.durante.o.ano.com.TODOS.os.serviços.do.município..saúde..educação..pagamento.de.pessoal..etc...Antigo.campo.GE010...R..ano.","FN224...A.Prefeitura.recebeu.algum.recurso.federal.para.aplicação.no.setor.de.manejo.de.RSU...Antigo.campo.GE025...Sim.Não..x","FN224...A.Prefeitura.recebeu.algum.recurso.federal.para.aplicação.no.setor.de.manejo.de.RSU...Antigo.campo.GE025...Sim.Não..y","FN225...Valor.repassado..Antigo.campo.GE026...R..ano.","FN226...Tipo.de.recurso..Antigo.campo.GE028."
220157,"Belém do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220170,"Bertolínia","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220173,"Betânia do Piauí","PI",2015,"[22017340] Prefeitura Municipal de Betânia do Piaui - PM","Res Sólidos","Não","","","","Não",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205581.8,NA,NA,14742720.03,"","",NA,""
220180,"Bocaina","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220190,"Bom Jesus","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220192,"Bonfim do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220198,"Brejo do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22019840] Prefeitura Municipal de Brejo do Piauí - PMBP","Água; Res Sólidos","Não","","","","Não",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33329.73,NA,NA,9935074.48,"Não","Não",NA,""
220202,"Buriti dos Montes","PI",2015,"[22020211] Prefeitura Municipal de Buriti dos Montes - PMBM; [22020240] Prefeitura Municipal de Buriti dos Montes - PMBM","Água; Res Sólidos","Não","","","","Não",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238399.89,NA,NA,15403143.7,"Não","Não",NA,""
220207,"Cajazeiras do Piauí","PI",2015,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220209,"Caldeirão Grande do Piauí","PI",2015,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220210,"Campinas do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220211,"Campo Alegre do Fidalgo","PI",2015,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220213,"Campo Grande do Piauí","PI",2015,"[22021311] Prefeitura Municipal de Campo Grande do Piauí - PMCGP; [22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22021340] Prefeitura Municipal Campo Grande do Piauí - PM","Água e Esgoto; Água; Res Sólidos","Não","","","","Não",80000,0,80000,0,0,0,96000,0,96000,0,0,0,176000,0,176000,NA,NA,3e+06,"Não","Não",NA,""
220225,"Canavieira","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220230,"Canto do Buriti","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22023040] PREFEITURA MUNICIPAL DE CANTO DO BURITI - PI","Água; Res Sólidos","Não","","","","Não",285120,1584000,1869120,0,0,0,190080,0,190080,63360,0,63360,538560,1584000,2122560,NA,NA,35685364.88,"Não","Não",NA,""
220245,"Capitão Gervásio Oliveira","PI",2015,"[22024511] Prefeitura Municipal de Capitão Gervásio Oliveira - PMCGO; [22024540] PREFEITURA MUNICIPAL DE CAPITAO GERVASIO OLIVEIRA - PMCGO","Água; Res Sólidos","Não","","","","Não",80000,0,80000,20000,0,20000,95000,0,95000,0,0,0,195000,0,195000,NA,NA,2100000,"Não","Não",NA,""
220250,"Caracol","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220255,"Caridade do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220260,"Castelo do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22026040] PREFEITURA MUNICIPAL DE CASTELO DO PIAUI - PMC","Água; Res Sólidos","Não","","","","Não",630347.15,0,630347.15,0,0,0,438037.85,0,438037.85,0,0,0,1068385,0,1068385,NA,NA,35401551.92,"Não","Não",NA,""
220275,"Colônia do Gurguéia","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220277,"Colônia do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220280,"Conceição do Canindé","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22028040] SECRETARIA DE OBRAS SANEAMENTO E ABASTECIMENTO - SOSA","Água; Res Sólidos","Não","","","","Não",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332809.8,NA,NA,12356708.5,"Não","Não",NA,""
220285,"Coronel José Dias","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220310,"Cristino Castro","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220320,"Curimatá","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220323,"Currais","PI",2015,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220327,"Curral Novo do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220335,"Dirceu Arcoverde","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220340,"Dom Expedito Lopes","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22034040] Prefeitura Municipal de Dom Expedito Lopes - PMDEL","Água; Res Sólidos","Não","","","","Não",NA,NA,360000,NA,NA,NA,NA,NA,NA,NA,NA,6e+05,NA,NA,360000,NA,NA,5e+06,"","",NA,""
220342,"Domingos Mourão","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220345,"Dom Inocêncio","PI",2015,"[22034540] Secretaria Municipal de Obras - SMO","Res Sólidos","Não","","","","Não",65000,0,65000,0,0,0,0,0,0,0,0,0,65000,0,65000,NA,NA,3974715,"Não","Não",NA,""
220360,"Eliseu Martins","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220375,"Fartura do Piauí","PI",2015,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220380,"Flores do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220385,"Floresta do Piauí","PI",2015,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220415,"Francisco Macedo","PI",2015,"[22041540] Prefeitura Municipal de Francisco Macedo - PMFM","Res Sólidos","Não","","","","Não",66054.71,0,66054.71,0,0,0,56736,0,56736,14184,0,14184,136974.71,0,136974.71,NA,NA,8399898.99,"Não","Não",NA,""
220420,"Francisco Santos","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22042040] Prefeitura Municipal de Francisco Santos - PMFS","Água; Res Sólidos","Não","","","","Não",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392728,NA,NA,16074643.6,"Não","Não",NA,""
220430,"Fronteiras","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22043040] Prefeitura Municipal de Fronteiras - PMF","Água; Res Sólidos","Não","","","","Não",72372,28368,100740,0,0,0,0,824232,824232,0,0,0,72372,852600,924972,NA,NA,31427642.68,"Não","Não",NA,""
220435,"Geminiano","PI",2015,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220455,"Guaribas","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220470,"Inhuma","PI",2015,"[22047011] Prefeitura Municipal de Inhuma - PMI; [22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22047040] Prefeitura Municipal de Inhuma - PMI","Esgoto; Água; Res Sólidos","Não","","","","Não",0,240208,240208,20184,0,20184,0,170208,170208,42552,0,42552,62736,410416,473152,NA,NA,22625980.47,"Não","Não",NA,""
220480,"Ipiranga do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22048040] Prefeitura Municipal de Ipiranga do Piauí - PMI","Água; Res Sólidos","Não","","","","Não",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453600,NA,NA,14671400.37,"Não","Não",NA,""
220490,"Isaías Coelho","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220500,"Itainópolis","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220510,"Itaueira","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22051040] Prefeitura Municipal de Itaueira - PMI","Água; Res Sólidos","Não","","","","Não",0,265780,265780,0,0,0,0,50000,50000,0,0,0,0,315780,315780,NA,NA,21475136.04,"Não","Não",NA,""
220515,"Jacobina do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220520,"Jaicós","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220535,"João Costa","PI",2015,"[22053511] Prefeitura Municipal de João Costa - PMJC; [22053540] Prefeitura Municipal de João Costa - PMJC","Água e Esgoto; Res Sólidos","Não","","","","Não",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40000,NA,NA,9198074.46,"Não","Não",NA,""
220551,"Juazeiro do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22055140] Prefeitura Municipal de Juazeiro do Piaui - PMJPI","Água; Res Sólidos","Não","","","","Não",NA,NA,209118,NA,NA,64344,NA,NA,32172,NA,NA,16086,NA,NA,321720,NA,NA,15449700.91,"Não","Não",NA,""
220552,"Júlio Borges","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220553,"Jurema","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220556,"Lagoa do Barro do Piauí","PI",2015,"[22055640] Prefeitura Municipal Lagoa do Barro do Piauí - PMLBP","Res Sólidos","Não","","","","Não",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114360,NA,NA,6521907.9,"Não","Não",NA,""
220557,"Lagoa de São Francisco","PI",2015,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220559,"Lagoa do Sítio","PI",2015,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220590,"Manoel Emídio","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220595,"Marcolândia","PI",2015,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220605,"Massapê do Piauí","PI",2015,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220635,"Milton Brandão","PI",2015,"[22063511] Prefeitura Municipal de Milton Brandão - PMMB; [22063540] PREFEITURA MUNICIPAL DE MILTON BRANDAO - PMMB","Água; Res Sólidos","Não","","","","Não",4200,13956,18156,0,0,0,1500,0,1500,0,0,0,5700,13956,19656,NA,NA,2e+05,"Não","Não",NA,""
220650,"Monsenhor Hipólito","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22065040] Prefeitura Municipal de Monsenhor Hipólito - PMMH","Água; Res Sólidos","Não","","","","Não",NA,NA,55381,NA,NA,20768,NA,NA,25189,NA,NA,15674,NA,NA,117012,NA,NA,14548707.89,"Não","Não",NA,""
220665,"Morro Cabeça no Tempo","PI",2015,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220670,"Nazaré do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220690,"Novo Oriente do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220700,"Oeiras","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22070040] Prefeitura Municipal - PM","Água e Esgoto; Res Sólidos","Não","","","","Não",0,742247.75,742247.75,0,26386.12,26386.12,0,585464.6,585464.6,0,349825.2,349825.2,0,1703923.67,1703923.67,NA,NA,54514228.3,"Não","Não",NA,""
220720,"Padre Marcos","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220730,"Paes Landim","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22073040] Prefeitura Municipal de Paes Landim - PMPL","Água; Res Sólidos","Não","","","","Não",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360000,NA,NA,6360000,"","",NA,""
220735,"Pajeú do Piauí","PI",2015,"[22073511] Prefeitura Municipal de Pajeu do Piauí - PMPP","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220740,"Palmeira do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220755,"Paquetá","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220777,"Patos do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220780,"Paulistana","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
220785,"Pavussu","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,""
