"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","QD001...Tipo.de.atendimento.da.portaria.sobre.qualidade.da.água","QD002...Quantidades.de.paralisações.no.sistema.de.distribuição.de.água..Paralisações.ano.","QD003...Duração.das.paralisações..soma.das.paralisações.maiores.que.6.horas.no.ano...Horas.ano.","QD004...Quantidade.de.economias.ativas.atingidas.por.paralisações..Economias.ano.","QD006...Quantidade.de.amostras.para.cloro.residual..analisadas...Amostras.ano..","QD007...Quantidade.de.amostras.para.cloro.residual.com.resultados.fora.do.padrão..Amostras.ano.","QD008...Quantidade.de.amostras.para.turbidez..analisadas...Amostras.ano.","QD009...Quantidade.de.amostras.para.turbidez.fora.do.padrão..Amostras.ano.","QD011...Quantidades.de.extravasamentos.de.esgotos.registrados..Extravasamentos.ano..","QD012...Duração.dos.extravasamentos.registrados..Horas.ano.","QD015...Quantidade.de.economias.ativas.atingidas.por.interrupções.sistemáticas..Economias.ano.","QD016...Quantidade.de.amostras.analisadas.para.aferição.de.coliformes.fecais..Amostras.","QD017...Quantidade.de.amostras.analisadas.para.aferição.de.coliformes.fecais..com.resultados.fora.do.padrão..Amostras.","QD019...Quantidade.mínima.de.amostras.para.turbidez..obrigatórias...Amostras.ano.","QD020...Quantidade.mínima.de.amostras.para.cloro.residual..obrigatórias...Amostras.ano.","QD021...Quantidade.de.interrupções.sistemáticas..Interrupções.ano.","QD022...Duração.das.interrupções.sistemáticas..Horas.ano.","QD023...Quantidade.de.reclamações.ou.solicitações.de.serviços..Reclamações.ano.","QD024...Quantidade.de.serviços.executados..Serviços.ano.","QD025...Tempo.total.de.execução.dos.serviços..Horas.ano.","QD026...Quantidade.de.amostras.para.coliformes.totais..analisadas...Amostras.ano.","QD027...Quantidade.de.amostras.para.coliformes.totais.com.resultados.fora.do.padrão..Amostras.ano.","QD028...Quantidade.mínima.de.amostras.para.coliformes.totais..obrigatórias...Amostras.ano.","QD029...Atendimento.integral.da.portaria.518.04"
220157,"Belém do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,8,3,8,0,NA,NA,0,NA,NA,60,60,0,0,407,333,NA,8,1,60,NA
220170,"Bertolínia","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,8,0,8,0,NA,NA,0,NA,NA,60,60,0,0,759,730,NA,8,0,60,NA
220173,"Betânia do Piauí","PI",2015,"[22017340] Prefeitura Municipal de Betânia do Piaui - PM","Res Sólidos","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220180,"Bocaina","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,0,0,0,0,NA,NA,0,NA,NA,60,60,0,0,159,147,NA,0,0,60,NA
220190,"Bom Jesus","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,10,0,10,0,NA,NA,0,NA,NA,60,60,0,0,4868,3149,NA,10,1,60,NA
220192,"Bonfim do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,12,0,12,1,NA,NA,0,NA,NA,120,120,0,0,262,213,NA,12,7,120,NA
220198,"Brejo do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22019840] Prefeitura Municipal de Brejo do Piauí - PMBP","Água; Res Sólidos","Atende integralmente",0,0,0,17,0,17,0,NA,NA,0,NA,NA,60,60,0,0,559,528,NA,17,0,60,NA
220202,"Buriti dos Montes","PI",2015,"[22020211] Prefeitura Municipal de Buriti dos Montes - PMBM; [22020240] Prefeitura Municipal de Buriti dos Montes - PMBM","Água; Res Sólidos","",16,151,1016,46,0,46,2,NA,NA,2818,NA,NA,46,46,21,146,138,138,295,46,2,46,NA
220207,"Cajazeiras do Piauí","PI",2015,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220209,"Caldeirão Grande do Piauí","PI",2015,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220210,"Campinas do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,0,0,0,0,NA,NA,0,NA,NA,60,60,0,0,285,269,NA,0,0,60,NA
220211,"Campo Alegre do Fidalgo","PI",2015,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220213,"Campo Grande do Piauí","PI",2015,"[22021311] Prefeitura Municipal de Campo Grande do Piauí - PMCGP; [22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22021340] Prefeitura Municipal Campo Grande do Piauí - PM","Água e Esgoto; Água; Res Sólidos","",0,0,0,12,12,12,12,NA,NA,0,NA,NA,72,72,0,0,292,245,NA,12,12,72,NA
220225,"Canavieira","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,10,0,10,0,NA,NA,0,NA,NA,60,60,0,0,151,116,NA,10,0,60,NA
220230,"Canto do Buriti","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22023040] PREFEITURA MUNICIPAL DE CANTO DO BURITI - PI","Água; Res Sólidos","Atende integralmente",0,0,0,21,0,21,0,NA,NA,0,NA,NA,60,60,0,0,3694,3054,NA,21,0,60,NA
220245,"Capitão Gervásio Oliveira","PI",2015,"[22024511] Prefeitura Municipal de Capitão Gervásio Oliveira - PMCGO; [22024540] PREFEITURA MUNICIPAL DE CAPITAO GERVASIO OLIVEIRA - PMCGO","Água; Res Sólidos","",0,0,0,8,8,6,6,NA,NA,0,NA,NA,12,12,0,0,25,20,52,5,5,12,NA
220250,"Caracol","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,20,1,20,0,NA,NA,0,NA,NA,60,60,0,0,701,477,NA,20,2,60,NA
220255,"Caridade do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,0,0,0,0,NA,NA,0,NA,NA,180,180,0,0,87,74,NA,0,0,180,NA
220260,"Castelo do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22026040] PREFEITURA MUNICIPAL DE CASTELO DO PIAUI - PMC","Água; Res Sólidos","Atende integralmente",0,0,0,30,0,30,0,NA,NA,0,NA,NA,60,60,0,0,1260,968,NA,30,1,60,NA
220275,"Colônia do Gurguéia","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,20,0,20,0,NA,NA,0,NA,NA,60,60,0,0,356,258,NA,20,0,60,NA
220277,"Colônia do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,9,0,9,0,NA,NA,0,NA,NA,60,60,0,0,593,531,NA,9,1,60,NA
220280,"Conceição do Canindé","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22028040] SECRETARIA DE OBRAS SANEAMENTO E ABASTECIMENTO - SOSA","Água; Res Sólidos","Atende integralmente",0,0,0,0,0,0,0,NA,NA,0,NA,NA,60,60,0,0,416,367,NA,0,0,60,NA
220285,"Coronel José Dias","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,12,0,12,0,NA,NA,0,NA,NA,120,120,0,0,464,399,NA,12,0,120,NA
220310,"Cristino Castro","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,29,0,29,0,NA,NA,0,NA,NA,60,60,0,0,1055,789,NA,29,5,60,NA
220320,"Curimatá","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,21,0,21,1,NA,NA,0,NA,NA,120,120,0,0,1262,933,NA,21,0,120,NA
220323,"Currais","PI",2015,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220327,"Curral Novo do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,0,0,0,0,NA,NA,0,NA,NA,120,120,0,0,174,156,NA,0,0,120,NA
220335,"Dirceu Arcoverde","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,0,0,0,0,NA,NA,0,NA,NA,120,120,0,0,643,524,NA,0,0,120,NA
220340,"Dom Expedito Lopes","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22034040] Prefeitura Municipal de Dom Expedito Lopes - PMDEL","Água; Res Sólidos","Atende integralmente",0,0,0,0,0,0,0,NA,NA,0,NA,NA,60,60,0,0,468,410,NA,0,0,60,NA
220342,"Domingos Mourão","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,34,0,34,0,NA,NA,0,NA,NA,60,60,0,0,306,269,NA,34,1,60,NA
220345,"Dom Inocêncio","PI",2015,"[22034540] Secretaria Municipal de Obras - SMO","Res Sólidos","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220360,"Eliseu Martins","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,20,0,20,0,NA,NA,0,NA,NA,60,60,0,0,791,635,NA,20,0,60,NA
220375,"Fartura do Piauí","PI",2015,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220380,"Flores do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,34,0,34,0,NA,NA,0,NA,NA,60,60,0,0,414,341,NA,34,0,60,NA
220385,"Floresta do Piauí","PI",2015,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220415,"Francisco Macedo","PI",2015,"[22041540] Prefeitura Municipal de Francisco Macedo - PMFM","Res Sólidos","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220420,"Francisco Santos","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22042040] Prefeitura Municipal de Francisco Santos - PMFS","Água; Res Sólidos","Atende integralmente",0,0,0,0,0,0,0,NA,NA,0,NA,NA,60,60,0,0,528,490,NA,0,0,60,NA
220430,"Fronteiras","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22043040] Prefeitura Municipal de Fronteiras - PMF","Água; Res Sólidos","Atende integralmente",0,0,0,17,0,17,15,NA,NA,0,NA,NA,120,120,0,0,1264,1077,NA,17,2,120,NA
220435,"Geminiano","PI",2015,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220455,"Guaribas","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,25,4,25,0,NA,NA,0,NA,NA,60,60,0,0,392,265,NA,25,7,60,NA
220470,"Inhuma","PI",2015,"[22047011] Prefeitura Municipal de Inhuma - PMI; [22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22047040] Prefeitura Municipal de Inhuma - PMI","Esgoto; Água; Res Sólidos","Atende integralmente",0,0,0,0,0,0,0,6,12,0,NA,NA,120,120,0,0,1578,1339,NA,0,0,120,NA
220480,"Ipiranga do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22048040] Prefeitura Municipal de Ipiranga do Piauí - PMI","Água; Res Sólidos","Atende integralmente",0,0,0,0,0,0,0,NA,NA,0,NA,NA,60,60,0,0,985,804,NA,0,0,60,NA
220490,"Isaías Coelho","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,0,0,0,0,NA,NA,0,NA,NA,60,60,0,0,241,214,NA,0,0,60,NA
220500,"Itainópolis","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,0,0,0,0,NA,NA,0,NA,NA,60,60,0,0,602,469,NA,0,0,60,NA
220510,"Itaueira","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22051040] Prefeitura Municipal de Itaueira - PMI","Água; Res Sólidos","Atende integralmente",0,0,0,22,0,22,0,NA,NA,0,NA,NA,60,60,0,0,787,509,NA,22,1,60,NA
220515,"Jacobina do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,7,2,7,0,NA,NA,0,NA,NA,120,120,0,0,453,403,NA,7,3,120,NA
220520,"Jaicós","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,7,3,7,0,NA,NA,0,NA,NA,120,120,0,0,1411,1296,NA,7,0,120,NA
220535,"João Costa","PI",2015,"[22053511] Prefeitura Municipal de João Costa - PMJC; [22053540] Prefeitura Municipal de João Costa - PMJC","Água e Esgoto; Res Sólidos","",3,18,200,150,32,150,18,0,0,200,NA,NA,150,150,3,18,25,25,8,150,12,150,NA
220551,"Juazeiro do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22055140] Prefeitura Municipal de Juazeiro do Piaui - PMJPI","Água; Res Sólidos","Atende integralmente",0,0,0,17,0,17,0,NA,NA,0,NA,NA,60,60,0,0,377,227,NA,17,1,60,NA
220552,"Júlio Borges","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,28,0,28,0,NA,NA,0,NA,NA,60,60,0,0,159,116,NA,28,0,60,NA
220553,"Jurema","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,10,0,10,0,NA,NA,0,NA,NA,180,180,0,0,791,762,NA,10,0,180,NA
220556,"Lagoa do Barro do Piauí","PI",2015,"[22055640] Prefeitura Municipal Lagoa do Barro do Piauí - PMLBP","Res Sólidos","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220557,"Lagoa de São Francisco","PI",2015,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220559,"Lagoa do Sítio","PI",2015,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220590,"Manoel Emídio","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,10,0,10,0,NA,NA,0,NA,NA,60,60,0,0,417,406,NA,10,0,60,NA
220595,"Marcolândia","PI",2015,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220605,"Massapê do Piauí","PI",2015,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220635,"Milton Brandão","PI",2015,"[22063511] Prefeitura Municipal de Milton Brandão - PMMB; [22063540] PREFEITURA MUNICIPAL DE MILTON BRANDAO - PMMB","Água; Res Sólidos","",25,100,500,116,15,116,10,NA,NA,0,NA,NA,168,168,0,0,48,48,45,140,95,168,NA
220650,"Monsenhor Hipólito","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22065040] Prefeitura Municipal de Monsenhor Hipólito - PMMH","Água; Res Sólidos","Atende integralmente",0,0,0,0,0,0,0,NA,NA,0,NA,NA,60,60,0,0,395,378,NA,0,0,60,NA
220665,"Morro Cabeça no Tempo","PI",2015,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220670,"Nazaré do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,3,0,3,0,NA,NA,0,NA,NA,60,60,0,0,261,222,NA,3,2,60,NA
220690,"Novo Oriente do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,0,0,0,0,NA,NA,0,NA,NA,60,60,0,0,641,581,NA,0,0,60,NA
220700,"Oeiras","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22070040] Prefeitura Municipal - PM","Água e Esgoto; Res Sólidos","Atende integralmente",0,0,0,81,0,81,0,0,0,0,NA,NA,60,60,0,0,9989,9695,NA,81,6,60,NA
220720,"Padre Marcos","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,6,3,6,0,NA,NA,0,NA,NA,120,120,0,0,599,480,NA,6,2,120,NA
220730,"Paes Landim","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22073040] Prefeitura Municipal de Paes Landim - PMPL","Água; Res Sólidos","Atende integralmente",0,0,0,0,0,0,0,NA,NA,0,NA,NA,60,60,0,0,344,281,NA,0,0,60,NA
220735,"Pajeú do Piauí","PI",2015,"[22073511] Prefeitura Municipal de Pajeu do Piauí - PMPP","Água","",4,24,NA,2,0,2,0,NA,NA,NA,NA,NA,2,2,1,30,3,3,40,2,0,2,NA
220740,"Palmeira do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,17,0,17,0,NA,NA,0,NA,NA,60,60,0,0,193,170,NA,17,0,60,NA
220755,"Paquetá","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,0,0,0,0,NA,NA,0,NA,NA,60,60,0,0,111,103,NA,0,0,60,NA
220777,"Patos do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,6,0,6,0,NA,NA,0,NA,NA,120,120,0,0,367,339,NA,6,0,120,NA
220780,"Paulistana","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,10,3,10,0,NA,NA,0,NA,NA,120,120,0,0,2908,1872,NA,10,2,120,NA
220785,"Pavussu","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,37,0,37,0,NA,NA,0,NA,NA,60,60,0,0,292,214,NA,37,0,60,NA
220790,"Pedro II","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,49,0,49,0,NA,NA,0,NA,NA,120,120,0,0,5739,5097,NA,49,2,120,NA
220793,"Pedro Laurentino","PI",2015,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220795,"Nova Santa Rita","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,27,5,27,1,NA,NA,0,NA,NA,60,60,0,0,81,71,NA,27,5,60,NA
220800,"Picos","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água e Esgoto","Atende integralmente",0,0,0,55,5,55,0,0,0,0,NA,NA,752,752,0,0,957,867,NA,55,16,752,NA
220810,"Pimenteiras","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22081040] Prefeitura Municipal de Pimenteiras - PMP","Água; Res Sólidos","Atende integralmente",0,0,0,0,0,0,0,NA,NA,0,NA,NA,60,60,0,0,857,698,NA,0,0,60,NA
220820,"Pio IX","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22082040] Prefeitura Municipal de Pio Ix - PMPI","Água; Res Sólidos","Atende integralmente",0,0,0,16,0,16,4,NA,NA,0,NA,NA,60,60,0,0,725,514,NA,16,0,60,NA
220830,"Piracuruca","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22083040] SECRETARIA MUNICIPAL DE MEIO AMBIENTE - SMMA","Água; Res Sólidos","Atende integralmente",0,0,0,24,0,24,0,NA,NA,0,NA,NA,120,120,0,0,3609,3425,NA,24,0,120,NA
220865,"Queimada Nova","PI",2015,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220870,"Redenção do Gurguéia","PI",2015,"[22087011] Prefeitura Municipal de Redenção do Gurguéia - PMRG; [22087040] Prefeitura Municipal de Redenção do Gurguéia - PMRG","Esgoto; Res Sólidos","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,12,NA,NA,NA,NA,NA
220887,"Ribeira do Piauí","PI",2015,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220900,"Rio Grande do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,36,0,36,0,NA,NA,0,NA,NA,60,60,0,0,732,516,NA,36,0,60,NA
220910,"Santa Cruz do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,0,0,0,0,NA,NA,0,NA,NA,60,60,0,0,366,286,NA,0,0,60,NA
220915,"Santa Cruz dos Milagres","PI",2015,"[22091511] Prefeitura Municipal de Santa Cruz dos Milagres - PMSCM; [22091540] SECRETARIA DE AGRICULTURA - SA","Água; Res Sólidos","",0,0,0,53,40,53,0,NA,NA,0,NA,NA,53,53,0,0,4,4,NA,53,23,53,NA
220930,"Santa Luz","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,20,0,20,0,NA,NA,0,NA,NA,60,60,0,0,416,352,NA,20,1,60,NA
220935,"Santana do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",0,0,0,0,0,0,0,NA,NA,0,NA,NA,60,60,0,0,45,38,NA,0,0,60,NA
