"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","IN014_RS...Taxa.de.cobertura.do.serviço.de.coleta.domiciliar.direta..porta.a.porta..da.população.urbana.do.município....","IN015_RS...Taxa.de.cobertura.do.serviço.de.coleta.de.rdo.em.relação.à.população.total.do.município....","IN016_RS...Taxa.de.cobertura.do.serviço.de.coleta.de.rdo.em.relação.à.população.urbana....","IN017_RS...Taxa.de.terceirização.do.serviço.de.coleta.de..rdo...rpu..em.relação.à.quantidade.coletada....","IN018_RS...Produtividade.média.dos.empregados.na.coleta..coletadores...motoristas..na.coleta..rdo...rpu..em.relação.à.massa.coletada..Kg.empreg.dia.","IN019_RS...Taxa.de.empregados..coletadores...motoristas..na.coleta..rdo...rpu..em.relação.à.população.urbana..empreg.1000.hab.","IN021_RS...Massa.coletada..rdo...rpu..per.capita.em.relação.à.população.urbana..Kg.hab.dia.","IN022_RS...Massa..rdo..coletada.per.capita.em.relação.à.população.atendida.com.serviço.de.coleta..Kg.hab.dia.","IN023_RS...Custo.unitário.médio.do.serviço.de.coleta..rdo...rpu...R..t.","IN024_RS...Incidência.do.custo.do.serviço.de.coleta..rdo...rpu..no.custo.total.do.manejo.de.rsu....","IN025_RS...Incidência.de..coletadores...motoristas..na.quantidade.total.de.empregados.no.manejo.de.rsu....","IN027_RS...Taxa.da.quantidade.total.coletada.de.resíduos.públicos..rpu..em.relação.à.quantidade.total.coletada.de.resíduos.sólidos.domésticos..rdo.....","IN028_RS...Massa.de.resíduos.domiciliares.e.públicos..rdo.rpu..coletada.per.capita.em.relação.à.população.total.atendida.pelo.serviço.de.coleta..Kg.habitante.dia."
220157,"Belém do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220170,"Bertolínia","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220173,"Betânia do Piauí","PI",2015,"[22017340] Prefeitura Municipal de Betânia do Piaui - PM","Res Sólidos",100,27.9,100,100,NA,NA,1.29,NA,NA,NA,NA,NA,1.29
220180,"Bocaina","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220190,"Bom Jesus","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220192,"Bonfim do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220198,"Brejo do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22019840] Prefeitura Municipal de Brejo do Piauí - PMBP","Água; Res Sólidos",100,37.04,100,16.1,NA,NA,0.26,NA,NA,NA,NA,NA,0.26
220202,"Buriti dos Montes","PI",2015,"[22020211] Prefeitura Municipal de Buriti dos Montes - PMBM; [22020240] Prefeitura Municipal de Buriti dos Montes - PMBM","Água; Res Sólidos",100,30.36,100,0,598.08,2.41,1.24,0.89,NA,NA,18.18,38.46,1.24
220207,"Cajazeiras do Piauí","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220209,"Caldeirão Grande do Piauí","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220210,"Campinas do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220211,"Campo Alegre do Fidalgo","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220213,"Campo Grande do Piauí","PI",2015,"[22021311] Prefeitura Municipal de Campo Grande do Piauí - PMCGP; [22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22021340] Prefeitura Municipal Campo Grande do Piauí - PM","Água e Esgoto; Água; Res Sólidos",30.71,25.86,67.57,0,319.49,2.46,0.67,NA,200,45.45,40,NA,0.73
220225,"Canavieira","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220230,"Canto do Buriti","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22023040] PREFEITURA MUNICIPAL DE CANTO DO BURITI - PI","Água; Res Sólidos",100,55.59,100,100,256.53,5.91,1.3,NA,342.33,88.06,76.4,NA,1.3
220245,"Capitão Gervásio Oliveira","PI",2015,"[22024511] Prefeitura Municipal de Capitão Gervásio Oliveira - PMCGO; [22024540] PREFEITURA MUNICIPAL DE CAPITAO GERVASIO OLIVEIRA - PMCGO","Água; Res Sólidos",100,29.97,100,0,202.34,2.5,0.43,NA,421.05,41.03,20,NA,0.43
220250,"Caracol","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220255,"Caridade do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220260,"Castelo do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22026040] PREFEITURA MUNICIPAL DE CASTELO DO PIAUI - PMC","Água; Res Sólidos",100,69.17,100,0,1102.24,1.76,1.66,NA,91.35,59,29.85,NA,1.5
220275,"Colônia do Gurguéia","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220277,"Colônia do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220280,"Conceição do Canindé","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22028040] SECRETARIA DE OBRAS SANEAMENTO E ABASTECIMENTO - SOSA","Água; Res Sólidos",100,52.8,100,100,359.42,3.34,1.03,NA,NA,NA,57.14,NA,1.03
220285,"Coronel José Dias","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220310,"Cristino Castro","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220320,"Curimatá","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220323,"Currais","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220327,"Curral Novo do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220335,"Dirceu Arcoverde","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220340,"Dom Expedito Lopes","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22034040] Prefeitura Municipal de Dom Expedito Lopes - PMDEL","Água; Res Sólidos",100,100,100,100,127.8,1.91,0.21,0.09,NA,NA,41.18,27.27,0.11
220342,"Domingos Mourão","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220345,"Dom Inocêncio","PI",2015,"[22034540] Secretaria Municipal de Obras - SMO","Res Sólidos",100,21.83,100,0.09,597.44,2.93,1.5,NA,57.93,100,31.58,NA,1.5
220360,"Eliseu Martins","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220375,"Fartura do Piauí","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220380,"Flores do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220385,"Floresta do Piauí","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220415,"Francisco Macedo","PI",2015,"[22041540] Prefeitura Municipal de Francisco Macedo - PMFM","Res Sólidos",100,40.26,100,74.96,478.43,1.6,0.66,NA,220.55,48.22,33.33,NA,0.66
220420,"Francisco Santos","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22042040] Prefeitura Municipal de Francisco Santos - PMFS","Água; Res Sólidos",23.85,46.31,100,30.56,920.13,0.48,0.38,NA,NA,NA,11.76,NA,0.38
220430,"Fronteiras","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22043040] Prefeitura Municipal de Fronteiras - PMF","Água; Res Sólidos",100,65.56,100,100,1257.19,0.54,0.58,NA,64,10.89,11.11,NA,0.58
220435,"Geminiano","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220455,"Guaribas","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220470,"Inhuma","PI",2015,"[22047011] Prefeitura Municipal de Inhuma - PMI; [22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22047040] Prefeitura Municipal de Inhuma - PMI","Esgoto; Água; Res Sólidos",94.89,79.77,94.89,100,839.62,1.36,0.98,NA,91.4,50.77,37.04,NA,0.6
220480,"Ipiranga do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22048040] Prefeitura Municipal de Ipiranga do Piauí - PMI","Água; Res Sólidos",100,100,100,100,599.04,1.35,0.69,NA,NA,NA,22.22,NA,0.43
220490,"Isaías Coelho","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220500,"Itainópolis","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220510,"Itaueira","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22051040] Prefeitura Municipal de Itaueira - PMI","Água; Res Sólidos",86.19,55.72,100,100,2619.81,0.83,1.86,NA,64.82,84.17,38.46,NA,1.86
220515,"Jacobina do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220520,"Jaicós","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220535,"João Costa","PI",2015,"[22053511] Prefeitura Municipal de João Costa - PMJC; [22053540] Prefeitura Municipal de João Costa - PMJC","Água e Esgoto; Res Sólidos",100,40.47,100,0,55.91,5.7,0.27,NA,NA,NA,40,NA,0.16
220551,"Juazeiro do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22055140] Prefeitura Municipal de Juazeiro do Piaui - PMJPI","Água; Res Sólidos",99.88,35.19,99.88,0,271.57,2.39,0.56,NA,NA,NA,50,NA,0.49
220552,"Júlio Borges","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220553,"Jurema","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220556,"Lagoa do Barro do Piauí","PI",2015,"[22055640] Prefeitura Municipal Lagoa do Barro do Piauí - PMLBP","Res Sólidos",100,21.97,100,0,NA,NA,2.92,NA,NA,NA,NA,NA,2.92
220557,"Lagoa de São Francisco","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220559,"Lagoa do Sítio","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220590,"Manoel Emídio","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220595,"Marcolândia","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220605,"Massapê do Piauí","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220635,"Milton Brandão","PI",2015,"[22063511] Prefeitura Municipal de Milton Brandão - PMMB; [22063540] PREFEITURA MUNICIPAL DE MILTON BRANDAO - PMMB","Água; Res Sólidos",91.58,23.02,91.58,0,319.49,1.83,0.5,NA,60.52,92.37,21.43,NA,0.55
220650,"Monsenhor Hipólito","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22065040] Prefeitura Municipal de Monsenhor Hipólito - PMMH","Água; Res Sólidos",100,67.94,100,0,456.87,0.84,0.33,0.2,NA,NA,37.5,15.63,0.23
220665,"Morro Cabeça no Tempo","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220670,"Nazaré do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220690,"Novo Oriente do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220700,"Oeiras","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22070040] Prefeitura Municipal - PM","Água e Esgoto; Res Sólidos",89.67,55.34,89.67,100,2029.77,0.54,1.12,1.2,97.36,43.56,21.43,4.03,1.25
220720,"Padre Marcos","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220730,"Paes Landim","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22073040] Prefeitura Municipal de Paes Landim - PMPL","Água; Res Sólidos",100,73.69,100,0,NA,NA,0.22,NA,NA,NA,NA,NA,0.18
220735,"Pajeú do Piauí","PI",2015,"[22073511] Prefeitura Municipal de Pajeu do Piauí - PMPP","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220740,"Palmeira do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220755,"Paquetá","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220777,"Patos do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220780,"Paulistana","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220785,"Pavussu","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220790,"Pedro II","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220793,"Pedro Laurentino","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220795,"Nova Santa Rita","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220800,"Picos","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220810,"Pimenteiras","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22081040] Prefeitura Municipal de Pimenteiras - PMP","Água; Res Sólidos",100,43.65,100,100,NA,NA,1.07,NA,NA,NA,NA,NA,1
220820,"Pio IX","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22082040] Prefeitura Municipal de Pio Ix - PMPI","Água; Res Sólidos",100,44.29,100,0,NA,NA,1.48,NA,NA,NA,NA,NA,1
220830,"Piracuruca","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22083040] SECRETARIA MUNICIPAL DE MEIO AMBIENTE - SMMA","Água; Res Sólidos",84.9,78.12,92.52,100,506.19,0.81,0.35,0.18,216.21,58.33,42.11,76.04,0.32
220865,"Queimada Nova","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220870,"Redenção do Gurguéia","PI",2015,"[22087011] Prefeitura Municipal de Redenção do Gurguéia - PMRG; [22087040] Prefeitura Municipal de Redenção do Gurguéia - PMRG","Esgoto; Res Sólidos",99.76,63.36,99.76,100,575.08,0.73,0.36,NA,270.83,71.69,40,NA,0.36
220887,"Ribeira do Piauí","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220900,"Rio Grande do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220910,"Santa Cruz do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220915,"Santa Cruz dos Milagres","PI",2015,"[22091511] Prefeitura Municipal de Santa Cruz dos Milagres - PMSCM; [22091540] SECRETARIA DE AGRICULTURA - SA","Água; Res Sólidos",100,56.06,100,100,NA,NA,1.24,NA,NA,NA,NA,NA,1.24
220930,"Santa Luz","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220935,"Santana do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220937,"Santa Rosa do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22093740] Prefeitura Municipal de Santa Rosa do Piauí - PMSR","Água; Res Sólidos",95.21,69.52,97.93,87.18,394.04,0.82,0.29,NA,NA,NA,21.43,NA,0.3
220940,"Santo Antônio de Lisboa","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220950,"Santo Inácio do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220955,"São Braz do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220965,"São Francisco de Assis do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22096540] PREFEITURA MUNICIPAL DE SÃO FRANCISCO DE ASSIS DO PIAUÍ - PMSFA","Água; Res Sólidos",100,42.1,100,100,239.62,2.69,0.55,NA,NA,NA,18.18,NA,0.34
220970,"São Francisco do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220985,"São João da Canabrava","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22098540] PREFEITURA MUNICIPAL DE SAO JOAO DA CANABRAVA - PMSJC","Água; Res Sólidos",95.62,68.54,95.62,0,NA,NA,2.16,NA,85.96,50,NA,NA,0.87
220987,"São João da Fronteira","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220990,"São João da Serra","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220995,"São João da Varjota","PI",2015,"[22099511] Prefeitura Municipal de São João da Varjota - PMSJV; [22099540] SECRETARIA DE SAÚDE - SSSV","Água; Res Sólidos",100,42.13,100,0,NA,NA,1.93,NA,NA,NA,NA,NA,1.37
221000,"São João do Piauí","PI",2015,"[22100011] Prefeitura Municipal de São João do Piauí - PMSJP; [22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Esgoto; Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221005,"São José do Divino","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221010,"São José do Peixe","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221020,"São José do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221030,"São Julião","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22103040] Prefeitura MUNICIPAL DE SÃO JULIÃO - pmsj","Água; Res Sólidos",0,77.85,100,100,279.55,1.56,0.37,NA,NA,NA,30.77,NA,0.2
221035,"São Lourenço do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221037,"São Luis do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221039,"São Miguel do Fidalgo","PI",2015,"[22103940] PREFEITURA MUNICIPAL DE SÃO MIGUEL DO FIDALGO - PMSMF","Res Sólidos",100,58.47,100,27.49,NA,NA,1.13,NA,NA,NA,NA,NA,0.71
221040,"São Miguel do Tapuio","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221060,"São Raimundo Nonato","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22106040] DEPARTAMENTO DE LIMPEZA URBANA - DLU","Água; Res Sólidos",100,65.78,100,100,2129.93,0.81,1.48,NA,NA,NA,47.37,NA,1.48
221063,"Sebastião Leal","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22106340] Prefeitura Municipal de Sebastião Leal - PMSL","Água; Res Sólidos",89.97,46.69,100,100,306.71,1.53,0.4,NA,434.83,24.85,30,NA,0.4
221070,"Simões","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
