"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","IN026_RS...Taxa.de.resíduos.sólidos.da.construção.civil..rcc..coletada.pela.prefeitura.em.relação.à.quantidade.total.coletada....","IN029_RS...Massa.de.rcc.per.capita.em.relação.à.população.urbana..Kg.habitante.dia."
220435,"Geminiano","PI",2015,"","",NA,NA
220455,"Guaribas","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220470,"Inhuma","PI",2015,"[22047011] Prefeitura Municipal de Inhuma - PMI; [22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22047040] Prefeitura Municipal de Inhuma - PMI","Esgoto; Água; Res Sólidos",NA,NA
220480,"Ipiranga do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22048040] Prefeitura Municipal de Ipiranga do Piauí - PMI","Água; Res Sólidos",34.67,NA
220490,"Isaías Coelho","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220500,"Itainópolis","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220510,"Itaueira","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22051040] Prefeitura Municipal de Itaueira - PMI","Água; Res Sólidos",NA,NA
220515,"Jacobina do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220520,"Jaicós","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220535,"João Costa","PI",2015,"[22053511] Prefeitura Municipal de João Costa - PMJC; [22053540] Prefeitura Municipal de João Costa - PMJC","Água e Esgoto; Res Sólidos",NA,NA
220551,"Juazeiro do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22055140] Prefeitura Municipal de Juazeiro do Piaui - PMJPI","Água; Res Sólidos",NA,NA
220552,"Júlio Borges","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220553,"Jurema","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220556,"Lagoa do Barro do Piauí","PI",2015,"[22055640] Prefeitura Municipal Lagoa do Barro do Piauí - PMLBP","Res Sólidos",NA,NA
220557,"Lagoa de São Francisco","PI",2015,"","",NA,NA
220559,"Lagoa do Sítio","PI",2015,"","",NA,NA
220590,"Manoel Emídio","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220595,"Marcolândia","PI",2015,"","",NA,NA
220605,"Massapê do Piauí","PI",2015,"","",NA,NA
220635,"Milton Brandão","PI",2015,"[22063511] Prefeitura Municipal de Milton Brandão - PMMB; [22063540] PREFEITURA MUNICIPAL DE MILTON BRANDAO - PMMB","Água; Res Sólidos",NA,NA
220650,"Monsenhor Hipólito","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22065040] Prefeitura Municipal de Monsenhor Hipólito - PMMH","Água; Res Sólidos",14.92,24.88
220665,"Morro Cabeça no Tempo","PI",2015,"","",NA,NA
220670,"Nazaré do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220690,"Novo Oriente do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220700,"Oeiras","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22070040] Prefeitura Municipal - PM","Água e Esgoto; Res Sólidos",NA,NA
220720,"Padre Marcos","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220730,"Paes Landim","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22073040] Prefeitura Municipal de Paes Landim - PMPL","Água; Res Sólidos",30.21,NA
220735,"Pajeú do Piauí","PI",2015,"[22073511] Prefeitura Municipal de Pajeu do Piauí - PMPP","Água",NA,NA
220740,"Palmeira do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220755,"Paquetá","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220777,"Patos do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220780,"Paulistana","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220785,"Pavussu","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220790,"Pedro II","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220793,"Pedro Laurentino","PI",2015,"","",NA,NA
220795,"Nova Santa Rita","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220800,"Picos","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água e Esgoto",NA,NA
220810,"Pimenteiras","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22081040] Prefeitura Municipal de Pimenteiras - PMP","Água; Res Sólidos",5.26,NA
220820,"Pio IX","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22082040] Prefeitura Municipal de Pio Ix - PMPI","Água; Res Sólidos",NA,NA
220830,"Piracuruca","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22083040] SECRETARIA MUNICIPAL DE MEIO AMBIENTE - SMMA","Água; Res Sólidos",NA,NA
220865,"Queimada Nova","PI",2015,"","",NA,NA
220870,"Redenção do Gurguéia","PI",2015,"[22087011] Prefeitura Municipal de Redenção do Gurguéia - PMRG; [22087040] Prefeitura Municipal de Redenção do Gurguéia - PMRG","Esgoto; Res Sólidos",NA,NA
220887,"Ribeira do Piauí","PI",2015,"","",NA,NA
220900,"Rio Grande do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220910,"Santa Cruz do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220915,"Santa Cruz dos Milagres","PI",2015,"[22091511] Prefeitura Municipal de Santa Cruz dos Milagres - PMSCM; [22091540] SECRETARIA DE AGRICULTURA - SA","Água; Res Sólidos",NA,NA
220930,"Santa Luz","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220935,"Santana do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220937,"Santa Rosa do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22093740] Prefeitura Municipal de Santa Rosa do Piauí - PMSR","Água; Res Sólidos",NA,NA
220940,"Santo Antônio de Lisboa","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220950,"Santo Inácio do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220955,"São Braz do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220965,"São Francisco de Assis do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22096540] PREFEITURA MUNICIPAL DE SÃO FRANCISCO DE ASSIS DO PIAUÍ - PMSFA","Água; Res Sólidos",NA,NA
220970,"São Francisco do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220985,"São João da Canabrava","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22098540] PREFEITURA MUNICIPAL DE SAO JOAO DA CANABRAVA - PMSJC","Água; Res Sólidos",NA,NA
220987,"São João da Fronteira","PI",2015,"","",NA,NA
220990,"São João da Serra","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
220995,"São João da Varjota","PI",2015,"[22099511] Prefeitura Municipal de São João da Varjota - PMSJV; [22099540] SECRETARIA DE SAÚDE - SSSV","Água; Res Sólidos",NA,NA
221000,"São João do Piauí","PI",2015,"[22100011] Prefeitura Municipal de São João do Piauí - PMSJP; [22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Esgoto; Água",NA,NA
221005,"São José do Divino","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
221010,"São José do Peixe","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
221020,"São José do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
221030,"São Julião","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22103040] Prefeitura MUNICIPAL DE SÃO JULIÃO - pmsj","Água; Res Sólidos",NA,NA
221035,"São Lourenço do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
221037,"São Luis do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
221039,"São Miguel do Fidalgo","PI",2015,"[22103940] PREFEITURA MUNICIPAL DE SÃO MIGUEL DO FIDALGO - PMSMF","Res Sólidos",NA,NA
221040,"São Miguel do Tapuio","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
221060,"São Raimundo Nonato","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22106040] DEPARTAMENTO DE LIMPEZA URBANA - DLU","Água; Res Sólidos",NA,NA
221063,"Sebastião Leal","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22106340] Prefeitura Municipal de Sebastião Leal - PMSL","Água; Res Sólidos",NA,NA
221070,"Simões","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
221080,"Simplício Mendes","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
221090,"Socorro do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
221093,"Sussuapara","PI",2015,"","",NA,NA
221095,"Tamboril do Piauí","PI",2015,"","",NA,NA
221097,"Tanque do Piauí","PI",2015,"","",NA,NA
221130,"Valença do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA
221135,"Várzea Branca","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22113540] Prefeitura Municipal de Várzea Branca - PMVB","Água; Res Sólidos",NA,NA
221150,"Vera Mendes","PI",2015,"","",NA,NA
221160,"Vila Nova do Piauí","PI",2015,"","",NA,NA
221170,"Wall Ferraz","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22117040] PREFEITURA MUNICIPAL DE WALL FERRAZ - PMWF","Água; Res Sólidos",NA,NA
230010,"Abaiara","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água",NA,NA
230015,"Acarapé","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água e Esgoto",NA,NA
230030,"Acopiara","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23003040] Secretaria da Infraestrutura - SEINFRA","Água e Esgoto; Res Sólidos",9.37,76.33
230040,"Aiuaba","CE",2015,"","",NA,NA
230050,"Alcântaras","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23005040] Prefeitura Municipal de Alcântaras - PMA","Água e Esgoto; Res Sólidos",NA,NA
230060,"Altaneira","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água e Esgoto",NA,NA
230070,"Alto Santo","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água",NA,NA
230080,"Antonina do Norte","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água",NA,NA
230090,"Apuiarés","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23009040] PREFEITURA MUNICIPA DE APUIARES - PMA","Água; Res Sólidos",4.73,NA
230110,"Aracati","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23011040] SECRETARIA DE INFRAESTRUTURA E URBANISMO - SEINFRA","Água e Esgoto; Res Sólidos",23.7,157.75
230120,"Aracoiaba","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água",NA,NA
230125,"Ararendá","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23012540] Prefeitura Municipal de Ararendá - PMA","Água; Res Sólidos",NA,NA
230130,"Araripe","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23013040] Prefeitura Municipal de Araripe - PMA","Água; Res Sólidos",NA,NA
230140,"Aratuba","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23014040] Prefeitura Municipal de Aratuba - PMA","Água e Esgoto; Res Sólidos",56.23,481.82
230150,"Arneiroz","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água",NA,NA
230160,"Assaré","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água",NA,NA
230170,"Aurora","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23017040] PREFEITURTA MUNICIPAL DE AURORA CEARA - PMA","Água e Esgoto; Res Sólidos",NA,NA
230180,"Baixio","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água",NA,NA
230185,"Banabuiú","CE",2015,"[23018511] Serviço Autônomo de Água e Esgoto - SAAE","Água",NA,NA
230190,"Barbalha","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água e Esgoto",NA,NA
230195,"Barreira","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23019540] Secretaria da Infraestrutura e Controle Urbano - SEINCO","Água e Esgoto; Res Sólidos",4.69,14.67
230200,"Barro","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água e Esgoto",NA,NA
230210,"Baturité","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23021040] SECRETARIA DE INFRAESTRUTURA E URBANISMO - SEINFRA","Água e Esgoto; Res Sólidos",NA,NA
230240,"Boa Viagem","CE",2015,"[23024011] Serviço Autônomo de Água e Esgoto - SAAE; [23024012] Prefeitura Municipal de Boa Viagem - PMBV; [23024040] Prefeitura Municipal - PMBV","Água; Esgoto; Res Sólidos",96.95,NA
230250,"Brejo Santo","CE",2015,"[23025040] SECRATARIA DE INFRAESTUTURA E URBANISMO - SEINFRA","Res Sólidos",26.5,NA
230270,"Campos Sales","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água e Esgoto",NA,NA
230280,"Canindé","CE",2015,"[23028011] Serviço Autônomo de Água e Esgoto de Canindé - SAAE; [23028040] SECRETARIA DE INFRAESTRUTURA E DESENVOLVIMENTO URBANO - SEINFRA","Água e Esgoto; Res Sólidos",NA,NA
230290,"Capistrano","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água",NA,NA
230300,"Caridade","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23030040] Prefeitura Municipal de Caridade - PMC","Água; Res Sólidos",9.74,NA
230310,"Cariré","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23031040] PREFEITURA MUNICIPAL DE CARIRÉ - PMC","Água; Res Sólidos",38.7,NA
230320,"Caririaçu","CE",2015,"[23032011] Serviço Autônomo de Água e Esgoto - SAMAE","Água",NA,NA
230330,"Cariús","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água",NA,NA
230340,"Carnaubal","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23034040] PREFEITURA DE CARNAUBAL / SECRETARIA DE INFRAESTRUTURA E SERVIÇOS PÚBLICOS - SEINFRA","Água; Res Sólidos",NA,NA
230360,"Catarina","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23036040] PREFEITURA MUNICIPAL DE CATARINA - PMC","Água e Esgoto; Res Sólidos",0.5,NA
230365,"Catunda","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água",NA,NA
230370,"Caucaia","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água e Esgoto",NA,NA
230380,"Cedro","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água e Esgoto",NA,NA
230393,"Choró","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água",NA,NA
230395,"Chorozinho","CE",2015,"[23039511] Prefeitura Municipal de Chorozinho - PMC; [23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23039540] Secretaria de Planejamento e Desenvolvimento Urbano - SPDU","Esgoto; Água; Res Sólidos",NA,NA
230400,"Coreaú","CE",2015,"[23040011] Prefeitura Municipal de Coreaú - PMC; [23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23040040] PREFEITURA MUNICIPAL DE COREAÚ - PMC","Esgoto; Água e Esgoto; Res Sólidos",NA,NA
230410,"Crateús","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água e Esgoto",NA,NA
230420,"Crato","CE",2015,"[23042011] Sociedade Anônima de Água e Esgoto do Crato - SAAEC","Água e Esgoto",NA,NA
230423,"Croatá","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23042340] PREFEITURA MUNICIPAL DE CROATA - PMC","Água e Esgoto; Res Sólidos",NA,NA
230426,"Deputado Irapuan Pinheiro","CE",2015,"[23042611] Prefeitura Municipal de Deputado Irapuan Pinheiro - PMDIP; [23042640] Secretaria de Obras.  Serviços Públicos e Transportes - SOSPT","Água; Res Sólidos",4.19,51.26
230427,"Ererê","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água",NA,NA
230430,"Farias Brito","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23043040] SECRETARIA MUNICIPAL DE INFRAESTRUTURA - SEINFRA","Água; Res Sólidos",NA,NA
230435,"Forquilha","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23043540] SEINFRA - SECRETARIA DE INFRAESTRUTURA - SEINFRA","Água e Esgoto; Res Sólidos",NA,NA
230450,"Frecheirinha","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23045040] Secretaria de Infra Estrutura e Meio Ambiente - Meio Ambiente","Água e Esgoto; Res Sólidos",NA,NA
230460,"General Sampaio","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23046040] Secretaria do Desenvolvimento Rural e Meio Ambiente - SEDERMA","Água; Res Sólidos",87.27,NA
230465,"Graça","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23046540] PREFEITURA MUNICIPAL DE GRAÇA - PMG","Água e Esgoto; Res Sólidos",NA,NA
230480,"Granjeiro","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23048040] Prefeitura Municipal de Granjeiro - PMG","Água e Esgoto; Res Sólidos",8.33,NA
230490,"Groaíras","CE",2015,"[23049011] Prefeitura Municipal de Groaíras - PMG; [23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23049040] Prefeitura Municipal de Groaíras - PMG","Esgoto; Água; Res Sólidos",83.33,NA
230500,"Guaraciaba do Norte","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23050040] Prefeitura Municipal de Guaraciaba do Norte - PMGN","Água e Esgoto; Res Sólidos",NA,NA
230510,"Guaramiranga","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água e Esgoto",NA,NA
230520,"Hidrolândia","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água",NA,NA
230523,"Horizonte","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23052340] SECRETARIA DE INFRA-ESTRUTURA - SEINFRA","Água e Esgoto; Res Sólidos",11.87,71.59
230526,"Ibaretama","CE",2015,"[23052640] Secretaria de Serviços Públicos - SSP","Res Sólidos",NA,NA
230530,"Ibiapina","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23053040] PREFEITURA MUNICIPAL DE IBIAPINA - PMI","Água; Res Sólidos",3.92,NA
230533,"Ibicuitinga","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água",NA,NA
