"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","IN001_AE...Densidade.de.economias.de.água.por.ligação..econ.lig.","IN009_AE...Índice.de.hidrometração..percentual.","IN010_AE...Índice.de.micromedição.relativo.ao.volume.disponibilizado..percentual.","IN011_AE...Índice.de.macromedição..percentual.","IN013_AE...Índice.de.perdas.faturamento..percentual.","IN014_AE...Consumo.micromedido.por.economia..m..mês.econ.","IN017_AE...Consumo.de.água.faturado.por.economia..m..mês.econ.","IN020_AE...Extensão.da.rede.de.água.por.ligação..m.lig.","IN022_AE...Consumo.médio.percapita.de.água..l.hab.dia.","IN023_AE...Índice.de.atendimento.urbano.de.água..percentual.","IN025_AE...Volume.de.água.disponibilizado.por.economia..m..mês.econ.","IN028_AE...Índice.de.faturamento.de.água..percentual.","IN043_AE...Participação.das.economias.residenciais.de.água.no.total.das.economias.de.água..percentual.","IN044_AE...Índice.de.micromedição.relativo.ao.consumo..percentual.","IN049_AE...Índice.de.perdas.na.distribuição..percentual.","IN050_AE...Índice.bruto.de.perdas.lineares..m..dia.Km.","IN051_AE...Índice.de.perdas.por.ligação..l.dia.lig.","IN052_AE...Índice.de.consumo.de.água..percentual.","IN053_AE...Consumo.médio.de.água.por.economia..m..mês.econ.","IN055_AE...Índice.de.atendimento.total.de.água..percentual.","IN057_AE...Índice.de.fluoretação.de.água..percentual.","IN058_AE...Índice.de.consumo.de.energia.elétrica.em.sistemas.de.abastecimento.de.água..kWh.m.."
220210,"Campinas do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1,99.74,47.65,0,35.43,8.7,11.7,7.5,116.7,97.5,18.2,64.57,94.06,92.21,48.32,30.9,288.39,51.68,9.4,41.02,0,0.77
220211,"Campo Alegre do Fidalgo","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220213,"Campo Grande do Piauí","PI",2015,"[22021311] Prefeitura Municipal de Campo Grande do Piauí - PMCGP; [22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22021340] Prefeitura Municipal Campo Grande do Piauí - PM","Água e Esgoto; Água; Res Sólidos",1.15,28.7,10.82,0,40.13,6.6,9.3,18.7,95.7,97.5,15.6,59.87,84.05,19.96,45.77,10.48,269.52,54.23,8.4,48.44,0,0.1
220225,"Canavieira","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1.01,79.64,44.11,0,32,10.7,13.2,9.2,124.8,97.5,19.4,68,95.68,70.75,37.66,17.02,240.97,62.34,12.1,52.87,0,0.69
220230,"Canto do Buriti","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22023040] PREFEITURA MUNICIPAL DE CANTO DO BURITI - PI","Água; Res Sólidos",1.01,99.07,35.28,0,38.12,7.5,13,6.7,131.3,97.5,21,61.88,91.47,67.39,47.65,41.43,331.62,52.35,11,66.99,0,0.44
220245,"Capitão Gervásio Oliveira","PI",2015,"[22024511] Prefeitura Municipal de Capitão Gervásio Oliveira - PMCGO; [22024540] PREFEITURA MUNICIPAL DE CAPITAO GERVASIO OLIVEIRA - PMCGO","Água; Res Sólidos",1,0,0,0,100,NA,0,19,275.8,100,22.7,0,90,0,0,0,0,100,20.2,29.97,100,0.22
220250,"Caracol","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1.03,92.2,15.32,0,37.32,3.1,11.5,10.7,87.5,74.1,18.4,62.68,93.26,29.84,48.67,16.72,302.16,51.33,9.4,29.22,0,1
220255,"Caridade do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1,85.93,43.87,0,25.84,7.8,11.4,9.4,79.8,97.5,15.3,74.16,94.86,76.52,42.66,17.08,215.68,57.34,8.8,42.59,0,2.62
220260,"Castelo do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22026040] PREFEITURA MUNICIPAL DE CASTELO DO PIAUI - PMC","Água; Res Sólidos",1.02,99.53,46.88,100,36.43,8.8,11.9,5.9,103,97.5,18.7,63.57,94.58,91.33,48.67,42.88,306.41,51.33,9.6,73.12,0,0.42
220275,"Colônia do Gurguéia","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1.01,67.25,22.3,0,39.7,7.2,13,10.7,109.6,46.5,21.6,60.3,95.63,42.33,47.32,12.19,337.57,52.68,11.4,37.33,0,1.44
220277,"Colônia do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1,99.65,50.71,58.64,35.94,10,12.5,10.6,115,97.5,19.6,64.06,94.98,95.3,46.79,21.54,302.38,53.21,10.4,44.48,0,0.34
220280,"Conceição do Canindé","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22028040] SECRETARIA DE OBRAS SANEAMENTO E ABASTECIMENTO - SOSA","Água; Res Sólidos",1,89.47,39.78,0,40.19,9.4,12.6,13.2,124.5,97.5,21.1,59.81,96.79,77.33,48.56,21.44,337.56,51.44,10.8,71.54,0,0.94
220285,"Coronel José Dias","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1.01,99.93,54.21,100,28.63,9.2,12.1,6.1,117.4,97.5,17.9,71.37,94.26,98.55,44.99,31.74,252.7,55.01,9.3,53.46,0,1.48
220310,"Cristino Castro","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1.04,76.34,34.05,0,36.96,8.9,12.6,5.8,104.2,97.5,19.9,63.04,93.45,62.41,45.44,39.75,308.4,54.56,10.9,77.18,0,0.62
220320,"Curimatá","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1.02,72.8,32.49,0,39.71,9,12.2,9.2,114.3,97.5,21.2,60.29,94.65,62.33,47.87,27.39,326.05,52.13,10.6,85.85,0,0.33
220323,"Currais","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220327,"Curral Novo do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1.01,98.91,44.98,0,26.77,6.6,10.7,9.7,82.5,97.5,14.6,73.23,95.68,83.04,45.84,17.12,221.2,54.16,7.9,31.16,0,2.58
220335,"Dirceu Arcoverde","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1.02,96.31,44.59,100,24.18,6.8,11,5.4,85.2,97.5,15.4,75.82,95.16,81.36,45.2,29.58,220.8,54.8,8,36.67,0,1.48
220340,"Dom Expedito Lopes","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22034040] Prefeitura Municipal de Dom Expedito Lopes - PMDEL","Água; Res Sólidos",1.01,99.82,65.1,0,13.15,9.3,12.4,5.1,119.8,97.5,14.3,86.85,93.45,88.26,26.24,21.34,124.55,73.76,10.6,65.67,0,1.47
220342,"Domingos Mourão","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1.01,96.07,41.68,0,32.1,7.9,12.3,10.7,117.2,97.5,18.1,67.9,89.76,80.99,48.54,21.76,292.59,51.46,9.3,30.23,0,0.41
220345,"Dom Inocêncio","PI",2015,"[22034540] Secretaria Municipal de Obras - SMO","Res Sólidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220360,"Eliseu Martins","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1.02,76.44,30.91,0.16,42.47,9,12.7,12.7,124.7,97.5,22.1,57.53,95,59.96,48.45,21.47,358.18,51.55,11.4,96.48,0,0.79
220375,"Fartura do Piauí","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220380,"Flores do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1.01,98.05,57.19,0,21.49,9.1,12.1,14.9,125.9,97.5,15.5,78.51,95.52,86.77,34.09,9.39,174.45,65.91,10.2,56.99,0,1.27
220385,"Floresta do Piauí","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220415,"Francisco Macedo","PI",2015,"[22041540] Prefeitura Municipal de Francisco Macedo - PMFM","Res Sólidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220420,"Francisco Santos","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22042040] Prefeitura Municipal de Francisco Santos - PMFS","Água; Res Sólidos",1,99.41,42.2,0,26.85,6.8,11.7,5.9,83.4,97.5,15.9,73.15,96.08,82.36,48.76,37.41,255.49,51.24,8.2,45.15,0,0.83
220430,"Fronteiras","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22043040] Prefeitura Municipal de Fronteiras - PMF","Água; Res Sólidos",1.02,90.61,47.44,0.07,21.93,8,11.9,5.4,108.2,97.5,15.9,78.07,94.4,72.47,34.53,27.49,176.93,65.47,10,80.25,0,0.16
220435,"Geminiano","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220455,"Guaribas","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1,88.47,39.46,100,34.77,7.8,11.4,11.7,99.7,97.5,17.5,65.23,96.23,75.74,47.91,17.47,274.81,52.09,9.1,52.26,0,1.83
220470,"Inhuma","PI",2015,"[22047011] Prefeitura Municipal de Inhuma - PMI; [22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22047040] Prefeitura Municipal de Inhuma - PMI","Esgoto; Água; Res Sólidos",1.01,99.25,51.04,0,30.16,8.7,11.8,10.7,112.1,97.5,16.9,69.84,92.79,89.2,42.78,18.77,240.27,57.22,9.7,65.96,0,0.82
220480,"Ipiranga do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22048040] Prefeitura Municipal de Ipiranga do Piauí - PMI","Água; Res Sólidos",1,86.2,32.57,0,39.58,7.3,11.7,15.6,98.6,97.5,19.3,60.42,95.61,62.69,48.04,14.5,305.59,51.96,10,64.88,0,0.93
220490,"Isaías Coelho","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1,88.94,37.88,0,41.28,9.1,12.5,9.6,125.6,97.5,21.3,58.72,93.24,73.62,48.55,27.34,340.68,51.45,11,32.7,0,0.96
220500,"Itainópolis","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1.02,94.72,40.95,0,34.62,7.9,11.9,6.7,129.5,97.5,18.2,65.38,91.33,78.17,47.61,37.15,289.29,52.39,9.5,33.77,0,0.28
220510,"Itaueira","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22051040] Prefeitura Municipal de Itaueira - PMI","Água; Res Sólidos",1.01,95.3,39.79,0,32.97,7.5,12.1,7.1,112.9,97.5,18,67.03,95.43,74.21,46.38,34.63,277.3,53.62,9.7,74.98,0,1.24
220515,"Jacobina do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1.02,87.51,39.55,0,32.12,7.5,11.3,5.3,129.6,97.5,16.7,67.88,92.09,74.77,47.11,39.61,262.59,52.89,8.8,45.9,0,1.58
220520,"Jaicós","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1.01,98.03,48.46,0,29.17,5.5,7.9,11.1,68.7,97.5,11.8,70.83,95.29,85.26,43.16,9.82,159.95,56.84,6.4,47.46,0,0.97
220535,"João Costa","PI",2015,"[22053511] Prefeitura Municipal de João Costa - PMJC; [22053540] Prefeitura Municipal de João Costa - PMJC","Água e Esgoto; Res Sólidos",1.07,0,0,0,100,0,NA,10.9,421.5,100,48.4,0,96.84,0,40,88.86,1135.64,60,16.1,77.57,100,1.33
220551,"Juazeiro do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22055140] Prefeitura Municipal de Juazeiro do Piaui - PMJPI","Água; Res Sólidos",1.01,99.06,44.86,0,35.72,8.6,12.2,7.3,106.5,97.5,19,64.28,92.74,85.49,47.53,31.2,299.16,52.47,10,34.41,0,0.82
220552,"Júlio Borges","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1.01,36.17,16.66,63.09,34.68,8.5,12,9.1,115.7,97.5,18.3,65.32,94.83,27.38,39.13,19.35,239.42,60.87,11.2,38.71,0,1.85
220553,"Jurema","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1,99.81,47.31,0,33.03,7.9,11.2,7.7,104,97.5,16.7,66.97,94.95,92.89,49.07,25.39,269.79,50.93,8.5,54.22,0,1.33
220556,"Lagoa do Barro do Piauí","PI",2015,"[22055640] Prefeitura Municipal Lagoa do Barro do Piauí - PMLBP","Res Sólidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220557,"Lagoa de São Francisco","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220559,"Lagoa do Sítio","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220590,"Manoel Emídio","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1,57.61,21.48,0,41.16,7.9,12.4,12.2,110.7,97.5,21.1,58.84,93.87,41.92,48.76,23.18,339.8,51.24,10.8,75.45,0,0.6
220595,"Marcolândia","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220605,"Massapê do Piauí","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220635,"Milton Brandão","PI",2015,"[22063511] Prefeitura Municipal de Milton Brandão - PMMB; [22063540] PREFEITURA MUNICIPAL DE MILTON BRANDAO - PMMB","Água; Res Sólidos",1,0,0,0,100,NA,0,34.7,80.7,91.6,9.7,0,100,0,0,0,0,100,9.7,73.01,0,2.14
220650,"Monsenhor Hipólito","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22065040] Prefeitura Municipal de Monsenhor Hipólito - PMMH","Água; Res Sólidos",1,99.32,69.7,0,1.83,7.8,10.9,5.4,94.3,97.5,11.1,98.17,92.7,94.55,26.28,16.23,96.46,73.72,8.2,53.84,0,1.36
220665,"Morro Cabeça no Tempo","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220670,"Nazaré do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1.01,94.54,69.06,0,5.72,10.5,13.5,7.4,114.9,97.7,14.3,94.28,96.51,85.93,19.63,8.76,92.85,80.37,11.5,46.74,0,1.13
220690,"Novo Oriente do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1.01,100,61.48,0,24.16,9.9,12.3,6.4,124.1,97.5,16.2,75.84,92.71,98.45,37.56,26.96,201.23,62.44,10.1,64.46,0,0.56
220700,"Oeiras","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22070040] Prefeitura Municipal - PM","Água e Esgoto; Res Sólidos",1.02,99.83,45.16,0,36.05,9,12.8,7.7,113.8,98.4,20.9,63.95,91.97,85.02,46.88,31.86,312.37,53.12,10.6,60.74,0,0.49
220720,"Padre Marcos","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1,99.81,48.68,0,23.7,7,10.9,5.5,113.8,97.5,14.9,76.3,93.43,93.7,48.05,34.59,227.14,51.95,7.5,66.2,0,0.76
220730,"Paes Landim","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22073040] Prefeitura Municipal de Paes Landim - PMPL","Água; Res Sólidos",1.01,68.29,28.27,0,40.89,9,12.8,9.9,118.5,97.5,21.7,59.11,92.84,54.32,47.96,26.96,346.69,52.04,11.3,75.29,0,0.95
220735,"Pajeú do Piauí","PI",2015,"[22073511] Prefeitura Municipal de Pajeu do Piauí - PMPP","Água",1.33,88.89,30,0,60,5.2,5.6,10,66.4,100,13.9,40,80,75,60,32.88,365.3,40,5.6,49.88,0,NA
220740,"Palmeira do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1,52.62,10.26,0,30.89,3.3,11.6,7.8,91.4,96.7,16.8,69.11,93.76,18.83,45.48,24.9,252.29,54.52,9.2,34.16,0,1.22
220755,"Paquetá","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1,77.11,40.69,0,32.36,10.4,13.4,8.1,137.1,97.5,19.8,67.64,94.03,68.03,40.19,22.65,262.77,59.81,11.8,19.46,0,1.81
220777,"Patos do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1,98.19,48.79,0,28.89,7.9,11.3,9.2,104.2,97.5,16.7,71.11,95.59,90.26,45.94,20.6,240.55,54.06,8.6,37.49,0,1.7
220780,"Paulistana","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1.04,99.1,46.92,0,29.99,7.8,11.5,6,109.4,97.5,17.1,70.01,91.23,86.08,45.5,35.93,256.35,54.5,9,69.65,0,0.62
220785,"Pavussu","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1,93.65,44.84,0,34.51,8.7,11.8,6.5,109,97.5,18,65.49,96.1,87.8,48.94,34.81,290.92,51.06,9.2,71.51,0,0.74
220790,"Pedro II","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1.02,99.11,48.71,0,31.93,8.4,11.6,5,93.8,97.5,17.2,68.07,94.46,91.31,46.65,46.03,265.46,53.35,9.1,73.52,0,0.41
220793,"Pedro Laurentino","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220795,"Nova Santa Rita","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1.01,82.89,40.06,0,32.74,8.8,12.2,11.2,122.8,97.5,18.1,67.26,94.3,71.82,44.22,17.79,265.68,55.78,10.1,22.45,0,1.2
220800,"Picos","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água e Esgoto",1.07,98.2,48.57,0,25.85,8.5,12.7,4.3,125.9,97.5,17.2,74.15,91.25,77.13,37.03,43.5,223.36,62.97,10.8,98.08,0,0.99
220810,"Pimenteiras","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22081040] Prefeitura Municipal de Pimenteiras - PMP","Água; Res Sólidos",1.02,99.94,48.09,0,38.77,9.9,12.6,16.6,112.7,97.5,20.5,61.23,95.11,93.51,48.58,16.88,332.71,51.42,10.6,50.38,0,0.3
220820,"Pio IX","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22082040] Prefeitura Municipal de Pio Ix - PMPI","Água; Res Sólidos",1.02,87.66,33.15,0,24.78,5.5,11,7.4,107.9,97.5,15.2,75.22,93.77,55.33,40.09,23.76,196.15,59.91,8.8,41.15,0,0.14
220830,"Piracuruca","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22083040] SECRETARIA MUNICIPAL DE MEIO AMBIENTE - SMMA","Água; Res Sólidos",1.01,99.88,72.67,0,0.16,8.7,12,10.9,109.4,97.5,12.5,99.84,94.6,89.56,18.86,5.88,75.49,81.14,9.8,88.05,0,0.65
220865,"Queimada Nova","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
