"ID","Município","Estado","Ano.de.Referência","Prestadores","Serviços","abastecimento","AG002...Quantidade.de.ligações.ativas.de.água..Ligações.","AG003...Quantidade.de.economias.ativas.de.água..Economias.","AG004...Quantidade.de.ligações.ativas.de.água.micromedidas..Ligações.","AG005...Extensão.da.rede.de.água..km.","AG006...Volume.de.água.produzido..1000.m..ano.","AG007...Volume.de.água.tratada.em.ETAs..1000.m..ano.","AG008...Volume.de.água.micromedido..1000.m..ano.","AG010...Volume.de.água.consumido..1000.m..ano.","AG011...Volume.de.água.faturado..1000.m..ano.","AG012...Volume.de.água.macromedido..1000.m..ano.","AG013...Quantidade.de.economias.residenciais.ativas.de.água..Economias.","AG014...Quantidade.de.economias.ativas.de.água.micromedidas..Economias.","AG015...Volume.de.água.tratada.por.simples.desinfecção..1000.m..ano.","AG017...Volume.de.água.bruta.exportado..1000.m..ano.","AG018...Volume.de.água.tratada.importado..1000.m..ano.","AG019...Volume.de.água.tratada.exportado..1000.m..ano.","AG020...Volume.micromedido.nas.economias.residenciais.ativas.de.água..1000.m..ano.","AG021...Quantidade.de.ligações.totais.de.água..Ligações.","AG022...Quantidade.de.economias.residenciais.ativas.de.água.micromedidas..Economias.","AG024...Volume.de.serviço..1000.m..ano.","AG026...População.urbana.atendida.com.abastecimento.de.água..Habitantes.","AG027...Volume.de.água.fluoretada..1000.m..ano.","AG028...Consumo.total.de.energia.elétrica.nos.sistemas.de.água..1000.kWh.ano."
220310,"Cristino Castro","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",7883,2178,2259,1644,16.41,523.94,0,178.41,285.86,330.3,0,2102,1710,523.94,0,0,0,170.79,2918,1624,0,7246,0,323.68
220320,"Curimatá","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",9547,2725,2813,1967,31.91,696,561.78,216.48,347.33,401.76,0,2652,2036,134.22,0,0,0,201.38,3518,1913,29.67,7138,0,227.7
220323,"Currais","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220327,"Curral Novo do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1585,444,446,439,6.19,81.02,0,36.44,43.88,59.33,0,426,441,81.02,0,0,0,34.68,617,423,0,1404,0,209.07
220335,"Dirceu Arcoverde","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",2516,749,760,717,5.67,143.4,143.4,60.38,74.21,102.67,143.4,723,727,0,0,0,0,56.82,1067,699,7.98,2374,0,212.53
220340,"Dom Expedito Lopes","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22034040] Prefeitura Municipal de Dom Expedito Lopes - PMDEL","Água; Res Sólidos",4437,1382,1394,1378,8.04,238.64,0,155.36,176.02,207.25,0,1305,1390,238.64,0,0,0,146,1585,1301,0,3582,0,351.03
220342,"Domingos Mourão","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1297,423,427,406,5.94,92.3,0,38.47,47.5,62.67,0,386,407,92.3,0,0,0,34.32,536,379,0,940,0,38.07
220345,"Dom Inocêncio","PI",2015,"[22034540] Secretaria Municipal de Obras - SMO","Res Sólidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220360,"Eliseu Martins","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",4638,1407,1425,1060,22.98,371.73,0,114.91,191.64,213.86,0.59,1356,1077,371.73,0,0,0,105.04,1830,1022,0,3839,0,291.92
220375,"Fartura do Piauí","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220380,"Flores do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",2504,835,837,804,15.27,153.08,0,87.55,100.9,120.18,0,800,806,153.08,0,0,0,81.55,1040,770,0,1950,0,193.7
220385,"Floresta do Piauí","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220415,"Francisco Macedo","PI",2015,"[22041540] Prefeitura Municipal de Francisco Macedo - PMFM","Res Sólidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220420,"Francisco Santos","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22042040] Prefeitura Municipal de Francisco Santos - PMFS","Água; Res Sólidos",4088,1216,1216,1207,9.17,241.53,0,101.92,123.75,176.69,0,1166,1207,241.53,0,0,0,96.27,1480,1158,0,4088,0,201.01
220430,"Fronteiras","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22043040] Prefeitura Municipal de Fronteiras - PMF","Água; Res Sólidos",9126,2664,2723,2378,17.01,514.78,514.78,234.46,323.54,385.79,0.37,2578,2435,0,0,0,0,214.44,3221,2315,20.59,7269,0,84.47
220435,"Geminiano","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220455,"Guaribas","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",2340,654,654,585,10.74,136.2,0,53.74,70.95,88.85,136.2,629,585,136.2,0,0,0,50.2,896,564,0,1265,0,249.22
220470,"Inhuma","PI",2015,"[22047011] Prefeitura Municipal de Inhuma - PMI; [22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22047040] Prefeitura Municipal de Inhuma - PMI","Esgoto; Água; Res Sólidos",9923,3020,3052,2994,39.45,614.95,0,313.86,351.85,429.47,0,2827,3025,614.95,0,0,0,293.94,3655,2802,0,7193,0,501.63
220480,"Ipiranga do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22048040] Prefeitura Municipal de Ipiranga do Piauí - PMI","Água; Res Sólidos",6228,1806,1808,1524,37.85,417.14,0,135.88,216.76,252.05,0,1730,1526,417.14,0,0,0,130.32,2473,1476,0,5766,0,386.11
220490,"Isaías Coelho","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",2749,805,806,705,10.76,206.19,0,78.1,106.09,121.08,0,751,706,206.19,0,0,0,69.46,1055,663,0,1859,0,197.85
220500,"Itainópolis","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",3834,1295,1314,1223,9.3,285.66,0,116.99,149.66,186.77,0,1202,1241,285.66,0,0,0,103.6,1503,1143,0,2521,0,78.63
220510,"Itaueira","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22051040] Prefeitura Municipal de Itaueira - PMI","Água; Res Sólidos",8119,2538,2553,2354,19.74,537.98,0,214.05,288.44,360.6,0,2438,2369,537.98,0,0,0,200.08,2840,2269,0,5882,0,666.94
220515,"Jacobina do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",2608,841,855,723,5.44,166.92,0,66.01,88.28,113.31,0,788,737,166.92,0,0,0,60.33,1044,676,0,992,0,264
220520,"Jaicós","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",8856,2735,2749,2677,42.12,366.42,366.42,169.51,198.81,247.74,0,2620,2691,0,0,0,0,163.57,3844,2568,16.66,8583,0,354.24
220535,"João Costa","PI",2015,"[22053511] Prefeitura Municipal de João Costa - PMJC; [22053540] Prefeitura Municipal de João Costa - PMJC","Água e Esgoto; Res Sólidos",2300,1500,1700,0,20,1500,0,0,900,0,0,1500,1286,1500,0,0,600,0,2000,1286,NA,702,1500,2000
220551,"Juazeiro do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22055140] Prefeitura Municipal de Juazeiro do Piaui - PMJPI","Água; Res Sólidos",1851,555,557,549,5.12,122.68,0,55.03,64.37,78.86,0,517,551,122.68,0,0,0,49.34,718,512,0,1631,0,100.96
220552,"Júlio Borges","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",2133,602,608,212,7.2,129.98,0,21.66,79.12,84.9,82.01,578,214,129.98,0,0,0,20.79,806,207,0,1618,0,239.93
220553,"Jurema","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",2525,768,768,765,8.21,155.01,0,73.33,78.94,103.81,0,732,765,155.01,0,0,0,68.91,1088,729,0,871,0,206
220556,"Lagoa do Barro do Piauí","PI",2015,"[22055640] Prefeitura Municipal Lagoa do Barro do Piauí - PMLBP","Res Sólidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220557,"Lagoa de São Francisco","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220559,"Lagoa do Sítio","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220590,"Manoel Emídio","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",3971,1144,1149,654,16.53,286.77,0,61.59,146.93,168.74,0,1079,656,286.77,0,0,0,52.11,1369,611,0,3263,0,172.55
220595,"Marcolândia","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220605,"Massapê do Piauí","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220635,"Milton Brandão","PI",2015,"[22063511] Prefeitura Municipal de Milton Brandão - PMMB; [22063540] PREFEITURA MUNICIPAL DE MILTON BRANDAO - PMMB","Água; Res Sólidos",4758,1215,1215,0,43,140,0,0,140,0,0,1215,0,0,0,0,0,0,1220,0,0,1500,0,300
220650,"Monsenhor Hipólito","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22065040] Prefeitura Municipal de Monsenhor Hipólito - PMMH","Água; Res Sólidos",4084,1337,1340,1330,8.78,177.59,0,123.78,130.92,174.34,0,1245,1333,177.59,0,0,0,114.46,1479,1241,0,3488,0,240.65
220665,"Morro Cabeça no Tempo","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220670,"Nazaré do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",3394,1028,1029,952,10.87,177.11,0,122.31,142.34,166.98,0,993,953,177.11,0,0,0,111.54,1492,919,0,3394,0,200.89
220690,"Novo Oriente do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",4179,1402,1412,1402,10.31,270.17,0,166.09,168.7,204.9,0,1306,1412,270.17,0,0,0,150.69,1627,1306,0,3190,0,152.42
220700,"Oeiras","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22070040] Prefeitura Municipal - PM","Água e Esgoto; Res Sólidos",22065,7105,7206,7095,69.8,1777.13,1777.13,765.02,899.81,1083.37,0,6626,7196,0,0,0,0,697.48,9101,6620,83.09,22065,0,876.69
220720,"Padre Marcos","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",4467,1592,1598,1590,10.37,283.78,283.78,132.61,141.52,207.87,0,1494,1596,0,0,0,0,122.67,1928,1493,11.35,2324,0,214.57
220730,"Paes Landim","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22073040] Prefeitura Municipal de Paes Landim - PMPL","Água; Res Sólidos",3065,866,876,584,10.97,225.07,0,63.62,117.13,133.03,0,813,592,225.07,0,0,0,57.13,1124,559,0,2323,0,212.78
220735,"Pajeú do Piauí","PI",2015,"[22073511] Prefeitura Municipal de Pajeu do Piauí - PMPP","Água",1650,450,600,400,5,100,13,30,40,40,0,480,480,27,0,0,0,0,500,480,0,1403,0,NA
220740,"Palmeira do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",1701,496,497,258,4.93,98.5,0,10.11,53.7,68.07,0,466,259,98.5,0,0,0,8.81,638,239,0,1701,0,120.12
220755,"Paquetá","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",759,228,230,175,2.61,53.7,0,21.85,32.12,36.32,0,215,177,53.7,0,0,0,17.08,330,165,0,511,0,97.09
220777,"Patos do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",2346,762,764,736,8.71,150.18,150.18,69.56,77.07,101.38,0,733,738,0,0,0,0,64.92,959,709,7.61,1688,0,255.1
220780,"Paulistana","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",14048,4475,4666,4399,31.46,944.63,944.63,425.48,494.26,634.91,0,4257,4590,0,0,0,0,378.55,5403,4198,37.79,10590,0,590.26
220785,"Pavussu","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",2601,796,796,738,6.51,169.04,0,75.79,86.32,110.71,0,765,738,169.04,0,0,0,71.79,1016,708,0,1736,0,125.7
220790,"Pedro II","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",27978,7954,8042,7865,44.96,1633.91,365.16,788.84,863.92,1102.3,0,7582,7950,1268.75,0,0,0,745.05,9207,7514,14.61,22429,0,666.22
220793,"Pedro Laurentino","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220795,"Nova Santa Rita","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",962,304,305,252,5.08,66.67,0,26.71,37.19,44.84,0,288,253,66.67,0,0,0,24.84,403,237,0,703,0,80.07
220800,"Picos","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água e Esgoto",75076,22502,23989,22036,118.64,4891.17,0,2375.44,3079.92,3626.94,0,21888,23499,4891.17,0,0,0,2164.37,26994,21476,0,59273,0,4828.46
220810,"Pimenteiras","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22081040] Prefeitura Municipal de Pimenteiras - PMP","Água; Res Sólidos",6002,1746,1769,1745,25.4,430.75,0,207.13,221.51,263.76,0,1686,1768,430.75,0,0,0,195.58,2066,1685,0,4747,0,128.98
220820,"Pio IX","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22082040] Prefeitura Municipal de Pio Ix - PMPI","Água; Res Sólidos",7432,2384,2421,2076,19.33,435.63,435.63,138.64,250.56,314.59,0,2266,2112,0,0,0,0,131.92,2692,1984,17.43,5273,0,63.05
220830,"Piracuruca","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22083040] SECRETARIA MUNICIPAL DE MEIO AMBIENTE - SMMA","Água; Res Sólidos",24795,7532,7621,7524,103.96,1124.89,1124.89,784.79,876.27,1078.21,0,7229,7613,0,0,0,0,735.27,8901,7222,45,19179,0,729.28
220865,"Queimada Nova","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220870,"Redenção do Gurguéia","PI",2015,"[22087011] Prefeitura Municipal de Redenção do Gurguéia - PMRG; [22087040] Prefeitura Municipal de Redenção do Gurguéia - PMRG","Esgoto; Res Sólidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220887,"Ribeira do Piauí","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220900,"Rio Grande do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",4771,1503,1517,1231,13.81,255.35,0,140.78,198.53,227.24,0,1450,1245,255.35,0,0,0,128.63,1890,1201,0,4028,0,238.13
220910,"Santa Cruz do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",4866,1427,1439,1273,9.51,344.6,0,132.38,177.45,209.84,0,1363,1285,344.6,0,0,0,124.33,1690,1215,0,4031,0,273.61
220915,"Santa Cruz dos Milagres","PI",2015,"[22091511] Prefeitura Municipal de Santa Cruz dos Milagres - PMSCM; [22091540] SECRETARIA DE AGRICULTURA - SA","Água; Res Sólidos",3926,1311,1311,1311,20,181.77,0,150.8,150.8,150.8,150.8,1311,1311,181.77,0,0,0,NA,1503,1311,NA,2201,150.8,92.69
