"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","IN001_RS...Taxa.de.empregados.em.relação.à.população.urbana..empreg.1000.hab.","IN002_RS...Despesa.média.por.empregado.alocado.nos.serviços.do.manejo.de.rsu..R..empreg.","IN003_RS...Incidência.das.despesas.com.o.manejo.de.rsu.nas.despesas.correntes.da.prefeitura....","IN004_RS...Incidência.das.despesas.com.empresas.contratadas.para.execução.de.serviços.de.manejo.rsu.nas.despesas.com.manejo.de.rsu....","IN005_RS...Auto.suficiência.financeira.da.prefeitura.com.o.manejo.de.rsu....","IN006_RS...Despesa.per.capita.com.manejo.de.rsu.em.relação.à.população.urbana..R..hab.","IN007_RS...Incidência.de.empregados.próprios.no.total.de.empregados.no.manejo.de.rsu....","IN008_RS...Incidência.de.empregados.de.empresas.contratadas.no.total.de.empregados.no.manejo.de.rsu....","IN010_RS...Incidência.de.empregados.gerenciais.e.administrativos.no.total.de.empregados.no.manejo.de.rsu....","IN011_RS...Receita.arrecadada.per.capita.com.taxas.ou.outras.formas.de.cobrança.pela.prestação.de.serviços.de.manejo.rsu..R..habitante.ano.","IN029_AE...Índice.de.evasão.de.receitas..percentual.","IN030_AE...Margem.da.despesa.de.exploração..percentual.","IN031_AE...Margem.da.despesa.com.pessoal.próprio..percentual.","IN032_AE...Margem.da.despesa.com.pessoal.total..equivalente...percentual.","IN033_AE...Margem.do.serviço.da.divida..percentual.","IN034_AE...Margem.das.outras.despesas.de.exploração..percentual.","IN035_AE...Participação.da.despesa.com.pessoal.próprio.nas.despesas.de.exploração..percentual.","IN036_AE...Participação.da.despesa.com.pessoal.total..equivalente..nas.despesas.de.exploração..percentual.","IN037_AE...Participação.da.despesa.com.energia.elétrica.nas.despesas.de.exploração..percentual.","IN038_AE...Participação.da.despesa.com.produtos.químicos.nas.despesas.de.exploração..DEX...percentual.","IN039_AE...Participação.das.outras.despesas.nas.despesas.de.exploração..percentual.","IN040_AE...Participação.da.receita.operacional.direta.de.água.na.receita.operacional.total..percentual.","IN041_AE...Participação.da.receita.operacional.direta.de.esgoto.na.receita.operacional.total..percentual.","IN042_AE...Participação.da.receita.operacional.indireta.na.receita.operacional.total..percentual.","IN045_AE...Índice.de.produtividade..empregados.próprios.por.1000.ligações.de.água..empreg.mil.lig.","IN048_AE...Índice.de.produtividade..empregados.próprios.por.1000.ligações.de.água...esgoto..empreg.mil.lig.","IN054_AE...Dias.de.faturamento.comprometidos.com.contas.a.receber..dias.","IN060_AE...Índice.de.despesas.por.consumo.de.energia.elétrica.nos.sistemas.de.água.e.esgotos..R..kWh.","IN101_AE...Índice.de.suficiência.de.caixa..percentual.","IN102_AE...Índice.de.produtividade.de.pessoal.total..equivalente...ligações.empregados."
220157,"Belém do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02,72.39,23.89,62.76,0,0,33,86.7,4.63,0,0,96.96,NA,3.04,2.52,2.52,91,0.36,101.87,151.2
220170,"Bertolínia","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38,77.52,43.36,47.7,0,0,55.94,61.53,29.69,0,0,91.55,NA,8.45,2.15,2.15,204,0.42,100.68,422.85
220173,"Betânia do Piauí","PI",2015,"[22017340] Prefeitura Municipal de Betânia do Piaui - PM","Res Sólidos",NA,NA,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220180,"Bocaina","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,114.1,84.36,85.86,0,0,73.93,75.25,19.03,0.24,0,97.72,NA,2.28,1.89,1.89,148,0.58,72.4,521.04
220190,"Bom Jesus","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.27,106.59,41.2,75.41,0,0,38.65,70.75,22.87,0,0,93.19,NA,6.81,1.56,1.56,312,0.52,77.19,351.28
220192,"Bonfim do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.43,148.39,0.65,86.35,0,0,0.44,58.19,27.82,9.6,0,95.83,NA,4.17,NA,NA,367,0.5,47.9,NA
220198,"Brejo do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22019840] Prefeitura Municipal de Brejo do Piauí - PMBP","Água; Res Sólidos",2.09,NA,0.34,NA,NA,NA,100,0,NA,NA,7.6,67.86,35.19,46.54,0,0,51.86,68.58,20.61,0,0,83.79,NA,16.21,1.51,1.51,240,0.59,111.53,501.4
220202,"Buriti dos Montes","PI",2015,"[22020211] Prefeitura Municipal de Buriti dos Montes - PMBM; [22020240] Prefeitura Municipal de Buriti dos Montes - PMBM","Água; Res Sólidos",13.27,NA,1.55,NA,NA,NA,100,0,3.03,NA,NA,NA,NA,NA,NA,NA,17.5,35.53,62.66,0.51,1.3,NA,NA,NA,3.25,3.25,NA,NA,0,151.62
220207,"Cajazeiras do Piauí","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220209,"Caldeirão Grande do Piauí","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220210,"Campinas do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.1,109.44,69.04,77.56,0,0,63.09,70.88,23.03,0.26,0,96.26,NA,3.74,2.64,2.64,64,0.58,77.74,337.35
220211,"Campo Alegre do Fidalgo","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220213,"Campo Grande do Piauí","PI",2015,"[22021311] Prefeitura Municipal de Campo Grande do Piauí - PMCGP; [22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22021340] Prefeitura Municipal Campo Grande do Piauí - PM","Água e Esgoto; Água; Res Sólidos",6.14,17600,5.87,0,NA,108.11,100,0,0,NA,13.43,86.37,43.2,59.91,0,5.7,50.02,69.37,9.16,8.66,6.6,91.69,0.04,8.28,1.9,1.77,132,0.54,86.95,407.36
220225,"Canavieira","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.93,112.77,76.47,84.49,0,0,67.81,74.92,19.14,0,0,94.63,NA,5.37,3.41,3.41,500,0.6,90.37,265.63
220230,"Canto do Buriti","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22023040] PREFEITURA MUNICIPAL DE CANTO DO BURITI - PI","Água; Res Sólidos",7.73,23848.99,5.95,74.63,NA,184.44,38.2,61.8,10.11,NA,8.86,53.1,33.41,36.19,0,0,62.92,68.16,19.82,0,0,96.19,NA,3.81,1.55,1.55,121,0.44,118.26,595.61
220245,"Capitão Gervásio Oliveira","PI",2015,"[22024511] Prefeitura Municipal de Capitão Gervásio Oliveira - PMCGO; [22024540] PREFEITURA MUNICIPAL DE CAPITAO GERVASIO OLIVEIRA - PMCGO","Água; Res Sólidos",12.49,13000,9.29,0,NA,162.36,40,60,6.67,NA,NA,NA,NA,NA,NA,NA,42.35,55.16,10.59,16.82,0,NA,NA,NA,6,6,NA,0.57,0,127.97
220250,"Caracol","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.88,123.16,55.81,80.72,0,0,45.32,65.54,29.28,0,0,97.29,NA,2.71,2.35,2.35,348,0.6,58.38,294.72
220255,"Caridade do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61,131.01,10.6,46.14,0,0,8.09,35.22,49.44,10.36,0,93.27,NA,6.73,NA,NA,339,0.45,66.4,NA
220260,"Castelo do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22026040] PREFEITURA MUNICIPAL DE CASTELO DO PIAUI - PMC","Água; Res Sólidos",NA,NA,3.02,0,NA,93.97,NA,NA,NA,NA,6.29,44.53,18.59,23.57,0,0,41.74,52.94,32.76,0,0,96.77,NA,3.23,0.76,0.76,79,0.59,135.66,1032.65
220275,"Colônia do Gurguéia","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.04,115.44,53.41,67.85,0,0,46.27,58.77,35.66,0,0,95.72,NA,4.28,3.03,3.03,470,0.48,77.7,259.58
220277,"Colônia do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05,72.4,47.34,53.62,0,0,65.39,74.06,16.95,0.29,0,98.07,NA,1.93,1.5,1.5,358,0.6,99.95,588.65
220280,"Conceição do Canindé","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22028040] SECRETARIA DE OBRAS SANEAMENTO E ABASTECIMENTO - SOSA","Água; Res Sólidos",5.85,NA,2.69,NA,NA,NA,0,100,0,NA,0.54,109.31,57.68,65.16,0,0,52.77,59.61,34.38,0,0,94.32,NA,5.68,2.04,2.04,110,0.64,77.05,433.15
220285,"Coronel José Dias","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25,140.59,46.84,74.56,0,0,33.32,53.03,31.42,10.84,0,94.06,NA,5.94,1.33,1.33,147,0.5,61.15,473.4
220310,"Cristino Castro","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.26,69.59,36.35,44.74,0,0,52.24,64.29,25.61,0,0,94.74,NA,5.26,1.42,1.42,392,0.47,118.86,572.85
220320,"Curimatá","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.96,97.68,36.69,57.42,0,0,37.56,58.78,12.49,21.99,0,94.77,NA,5.23,1.49,1.49,274,0.58,85.15,428.19
220323,"Currais","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220327,"Curral Novo do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.59,123.99,10.65,39.33,0,0,8.59,31.72,52.24,10.95,0,98.04,NA,1.96,NA,NA,301,0.45,54.5,NA
220335,"Dirceu Arcoverde","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.49,109.57,7.8,41.08,0,0,7.12,37.5,41.81,14.43,0,91.53,NA,8.47,NA,NA,263,0.5,80.37,288.5
220340,"Dom Expedito Lopes","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22034040] Prefeitura Municipal de Dom Expedito Lopes - PMDEL","Água; Res Sólidos",4.63,NA,7.2,NA,NA,NA,47.06,52.94,11.76,NA,-2.85,103.42,58.31,59.5,0,0,56.38,57.53,36.33,0,0,97.1,NA,2.9,2.18,2.18,106,0.6,81.36,449.97
220342,"Domingos Mourão","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-35.35,127.67,85.86,103.7,0,0,67.25,81.22,12.45,0,0,93.17,NA,6.83,2.38,2.38,131,0.56,93.39,347.31
220345,"Dom Inocêncio","PI",2015,"[22034540] Secretaria Municipal de Obras - SMO","Res Sólidos",9.27,3421.05,1.64,0,NA,31.72,52.63,47.37,5.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220360,"Eliseu Martins","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.69,61.22,18.09,28.11,0,0,29.55,45.91,42.7,0,0,90.14,NA,9.86,0.73,0.73,313,0.5,121.12,886.53
220375,"Fartura do Piauí","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220380,"Flores do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,70.61,31.09,39.35,0,0,44.03,55.73,34.7,0,0,90.37,NA,9.63,1.22,1.22,142,0.4,111.35,647.53
220385,"Floresta do Piauí","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220415,"Francisco Macedo","PI",2015,"[22041540] Prefeitura Municipal de Francisco Macedo - PMFM","Res Sólidos",NA,NA,1.63,0,NA,109.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220420,"Francisco Santos","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22042040] Prefeitura Municipal de Francisco Santos - PMFS","Água; Res Sólidos",4.05,NA,2.44,NA,NA,NA,58.82,41.18,5.88,NA,-3.48,106.01,68.66,75.54,0,0,64.77,71.25,22.7,0,0,95.25,NA,4.75,1.58,1.58,58,0.52,81.5,574.03
220430,"Fronteiras","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22043040] Prefeitura Municipal de Fronteiras - PMF","Água; Res Sólidos",NA,NA,2.94,92.18,NA,124.07,NA,NA,NA,NA,-7.1,81.59,41.55,61.98,0,0,50.93,75.97,5.26,10.81,0,94.78,NA,5.22,2.08,2.08,124,0.52,103.66,322.06
220435,"Geminiano","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220455,"Guaribas","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.77,140.08,2.65,67.42,0,0,1.89,48.13,47.23,0,0,96.2,NA,3.8,NA,NA,369,0.59,50.53,NA
220470,"Inhuma","PI",2015,"[22047011] Prefeitura Municipal de Inhuma - PMI; [22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22047040] Prefeitura Municipal de Inhuma - PMI","Esgoto; Água; Res Sólidos",NA,NA,2.09,86.74,NA,64.14,NA,NA,NA,NA,-2.31,78.57,41.97,52.6,0,0.59,53.42,66.94,24.03,0,0.74,94.25,0,5.75,1.33,1.03,97,0.44,102.26,773.07
220480,"Ipiranga do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22048040] Prefeitura Municipal de Ipiranga do Piauí - PMI","Água; Res Sólidos",NA,NA,3.09,NA,NA,NA,NA,NA,NA,NA,-0.12,84.42,35.75,42.56,0,0,42.35,50.42,42,0,0,96.15,NA,3.85,1.11,1.11,153,0.59,93.43,754.46
220490,"Isaías Coelho","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.89,91.17,49.93,51.63,0,0,54.77,56.63,36.38,0,0,96.46,NA,3.54,2.48,2.48,353,0.58,66.8,389.25
220500,"Itainópolis","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.92,57.64,36.15,42.28,0,0,62.72,73.36,15.33,0,0,93.88,NA,6.12,1.55,1.55,122,0.59,125.98,550.59
220510,"Itaueira","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22051040] Prefeitura Municipal de Itaueira - PMI","Água; Res Sólidos",2.15,24290.77,1.47,100,NA,52.34,0,100,15.38,NA,0.22,50.18,7.32,15.02,0,0,14.59,29.93,56.79,0.17,0,93.47,NA,6.53,0.41,0.41,191,0.43,136.89,1201.95
220515,"Jacobina do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.14,143.78,52.88,79.44,0,0,36.78,55.25,34.81,5.17,0,95.49,NA,4.51,1.22,1.22,95,0.46,68.68,546.12
220520,"Jaicós","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.06,181.93,106.04,129.36,0,0,58.29,71.11,21.55,3.35,0,93.87,NA,6.13,2.32,2.32,270,0.59,50.85,353.23
220535,"João Costa","PI",2015,"[22053511] Prefeitura Municipal de João Costa - PMJC; [22053540] Prefeitura Municipal de João Costa - PMJC","Água e Esgoto; Res Sólidos",NA,NA,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.76,56.77,38.76,2.18,1.86,NA,NA,NA,1.38,1.21,NA,0.02,0,653.44
220551,"Juazeiro do Piauí","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22055140] Prefeitura Municipal de Juazeiro do Piaui - PMJPI","Água; Res Sólidos",4.78,NA,2.08,NA,NA,NA,0,100,0,NA,10.69,49.89,0.46,13.08,0,0,0.91,26.22,59.68,0,0,90.65,NA,9.35,NA,NA,282,0.6,125.4,NA
220552,"Júlio Borges","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.26,136.11,1.67,28.07,0,0,1.23,20.63,48.53,25.61,0,89.75,NA,10.25,NA,NA,452,0.59,57.88,NA
220553,"Jurema","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.1,230.82,94.08,150.11,0,0,40.76,65.03,23.42,8.08,0,93.78,NA,6.22,1.29,1.29,232,0.5,49.12,484.13
220556,"Lagoa do Barro do Piauí","PI",2015,"[22055640] Prefeitura Municipal Lagoa do Barro do Piauí - PMLBP","Res Sólidos",5.96,NA,1.75,NA,NA,NA,83.33,16.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220557,"Lagoa de São Francisco","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220559,"Lagoa do Sítio","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220590,"Manoel Emídio","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.16,84.04,46.71,56.52,0,0,55.57,67.26,25.14,0,0,95.99,NA,4.01,1.77,1.77,282,0.59,79.54,465.83
220595,"Marcolândia","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220605,"Massapê do Piauí","PI",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220635,"Milton Brandão","PI",2015,"[22063511] Prefeitura Municipal de Milton Brandão - PMMB; [22063540] PREFEITURA MUNICIPAL DE MILTON BRANDAO - PMMB","Água; Res Sólidos",NA,NA,9.83,71,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.76,43.08,48.46,7.92,0,NA,NA,NA,0.83,0.83,NA,0.24,0,189.59
220650,"Monsenhor Hipólito","PI",2015,"[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22065040] Prefeitura Municipal de Monsenhor Hipólito - PMMH","Água; Res Sólidos",2.24,NA,0.8,NA,NA,NA,87.5,12.5,0,NA,-1.14,109.9,68.67,71.28,0,0,62.48,64.86,29.38,0,0,96.09,NA,3.91,2.26,2.26,31,0.61,76.86,425.63
